GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
Mission-14-216-2,Community engagement,Immigration,,,,No other group,No group,,,"Mission-14-216-2,Community engagement,Immigration,No other group,No group",neutral
Northeast-20-130-3,,bro going to jail,,,,No other group,Homies,no,my baby,"Northeast-20-130-3,bro going to jail,No other group,Homies,no,my baby",neutral
Hollenbeck 1-20-78-3,,Family issues,,,,No other group,Friends,Not involved in group,Not involved in group,"Hollenbeck 1-20-78-3,Family issues,No other group,Friends,Not involved in group,Not involved in group",sadness
Newton 2-23-245-1,Substance abuase workshops,Client went to jail,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-245-1,Substance abuase workshops,Client went to jail,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",neutral
Southeast 3-10-88-1,"Parks & Rec, Volunteer",Friend was shot and killed,School Parks & Rec,Basketball/Football,,Basketball,No group,,,"Southeast 3-10-88-1,Parks & Rec, Volunteer,Friend was shot and killed,School Parks & Rec,Basketball/Football,Basketball,No group",fear
Newton 2-23-151-1,VOALA activities,Client relapsed but made it a goal to change,Work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,No comment,No comments,"Newton 2-23-151-1,VOALA activities,Client relapsed but made it a goal to change,Work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),The bunnies,No comment,No comments",sadness
Foothill-14-401-1,,My dog died,,,,No other group,No group,,,"Foothill-14-401-1,My dog died,No other group,No group",sadness
Southwest 1-15-350-2,Security guard at 7/11 stores,Got incarcerated,7/11 store,,,CBInc,Group,,,"Southwest 1-15-350-2,Security guard at 7/11 stores,Got incarcerated,7/11 store,CBInc,Group",joy
Newton 2-23-263-1,Drug classes at VOA,Probation,,,,No other group,No group,,,"Newton 2-23-263-1,Drug classes at VOA,Probation,No other group,No group",sadness
Newton 1-17-215-2,,No,,,,No other group,Homies,Yes. My brothers going to jail hurt me.,No,"Newton 1-17-215-2,No,No other group,Homies,Yes. My brothers going to jail hurt me.,No",sadness
Southwest 1-15-352-2,,Got fired from a job,,,,No other group,Group,,,"Southwest 1-15-352-2,Got fired from a job,No other group,Group",sadness
Southwest 1-15-334-2,,Got hit by a car,,,,No other group,No group,No. Nothing has happened to push me away from my group.,Becoming employed has taken a lot of my time.,"Southwest 1-15-334-2,Got hit by a car,No other group,No group,No. Nothing has happened to push me away from my group.,Becoming employed has taken a lot of my time.",sadness
Northeast-20-297-2,,client did not want to spear about it,,,,No other group,No group,,,"Northeast-20-297-2,client did not want to spear about it,No other group,No group",anger
Hollenbeck 2-20-180-2,Studio with GRYD,Moving neighborhood,Project kids,,,Project kids,School friends,No,Moving,"Hollenbeck 2-20-180-2,Studio with GRYD,Moving neighborhood,Project kids,Project kids,School friends,No,Moving",neutral
Southwest 1-15-370-2,After school program,Got probation,After school program,,,Group,Group,Got on 3rd probation,Girlfriend,"Southwest 1-15-370-2,After school program,Got probation,After school program,Group,Group,Got on 3rd probation,Girlfriend",joy
Southwest 2-23-124-1,Going to events and activities at my program,My mom was hurt by my dad.,,Volunteers of America (GRYD),,GRYD,No group,,,"Southwest 2-23-124-1,Going to events and activities at my program,My mom was hurt by my dad.,Volunteers of America (GRYD),GRYD,No group",sadness
SSSEARE-0-103-1,,My grandfather passed away,School friends,,,No other group,No group,,,"SSSEARE-0-103-1,My grandfather passed away,School friends,No other group,No group",sadness
Southwest 1-15-346-2,Work out,Multiple people died,,,,No other group,Group,No,No,"Southwest 1-15-346-2,Work out,Multiple people died,No other group,Group,No,No",sadness
Southwest 1-15-347-2,"Reading, working out",A lot of people in my family died,,,,No other group,Group,No,Nothing,"Southwest 1-15-347-2,Reading, working out,A lot of people in my family died,No other group,Group,No,Nothing",sadness
Pacific-18-232-2,"Life skills, one on one counseling, therapy",I was detained in camp.,,,Life skills,HELPER Foundation,Homies,"I was forced to be away, I was locked up, had to stay away, I guess.","In camp I did good in school, I have to finish only history. I want to study business and open a bar.","Pacific-18-232-2,Life skills, one on one counseling, therapy,I was detained in camp.,Life skills,HELPER Foundation,Homies,I was forced to be away, I was locked up, had to stay away, I guess.,In camp I did good in school, I have to finish only history. I want to study business and open a bar.",fear
Southwest 1-15-269-1,Apartment search,Working on getting hours changed. Job search.,Job friends,CBInc,CBInc,CBInc,Group,,,"Southwest 1-15-269-1,Apartment search,Working on getting hours changed. Job search.,Job friends,CBInc,CBInc,CBInc,Group",joy
SSSEARE-0-97-1,,Death of family member,,,,No other group,Homies,I do not want to be locked up,Nope,"SSSEARE-0-97-1,Death of family member,No other group,Homies,I do not want to be locked up,Nope",sadness
Newton 2-23-126-1,Outings with VOALA and basketball at the GRYD program,I was facing jail time.,School friends and GRYD friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),Play Boys,Nope,Nope,"Newton 2-23-126-1,Outings with VOALA and basketball at the GRYD program,I was facing jail time.,School friends and GRYD friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),Play Boys,Nope,Nope",fear
Newton 1-17-267-1,,Not being able to get a job,,,,No other group,Homies,No,No,"Newton 1-17-267-1,Not being able to get a job,No other group,Homies,No,No",fear
Southwest 1-15-353-2,Workout,My friend was killed,,,,No other group,No name,Friend was killed,Going to school,"Southwest 1-15-353-2,Workout,My friend was killed,No other group,No name,Friend was killed,Going to school",sadness
Southwest 1-15-354-2,,Homie killed,,,,No other group,No group,,,"Southwest 1-15-354-2,Homie killed,No other group,No group",fear
Southwest 1-15-349-2,Exercising/walking,School is closing,,,,No other group,Group,Cousin was killed,Attending school,"Southwest 1-15-349-2,Exercising/walking,School is closing,No other group,Group,Cousin was killed,Attending school",sadness
Southwest 2-23-98-1,Go to my program and do parenting,My baby dad has domestic issues,,GRYD,,GRYD,No group,,,"Southwest 2-23-98-1,Go to my program and do parenting,My baby dad has domestic issues,GRYD,GRYD,No group",fear
Southwest 1-15-301-2,,Having kidney failure,,,,Group,Group,My daughter's father was killed in 2009 and I have never been the same. Then on the same day 2 years later I got sick with lupus and kidney failure.,Had my daughter,"Southwest 1-15-301-2,Having kidney failure,Group,Group,My daughter's father was killed in 2009 and I have never been the same. Then on the same day 2 years later I got sick with lupus and kidney failure.,Had my daughter",fear
77th 1-16-91-1,,Messing up in school,,,,No other group,My Boys,I'm good,,"77th 1-16-91-1,Messing up in school,No other group,My Boys,I'm good",fear
Southwest 1-15-359-2,,Got jumped,,,,No other group,Group,No,No,"Southwest 1-15-359-2,Got jumped,No other group,Group,No,No",neutral
77th 2-13-1393-1,"Football, Church, Volunteer",Witness my friend being shot and murdered,Church,Football,Chapter Two Inc,Football,No group,,,"77th 2-13-1393-1,Football, Church, Volunteer,Witness my friend being shot and murdered,Church,Football,Chapter Two Inc,Football,No group",fear
Northeast-20-206-3,,Homeless,,,,No other group,Homies,No,No,"Northeast-20-206-3,Homeless,No other group,Homies,No,No",fear
Southeast 3-10-173-1,"Football, Volunteer, Church",Friend was shot and killed,Church,Football,,Football,No group,,,"Southeast 3-10-173-1,Football, Volunteer, Church,Friend was shot and killed,Church,Football,Football,No group",fear
Southeast 3-10-170-1,"Football, Church, Volunteer",Witness a friend get shot and killed,Church/school,Football,,Football,No group,,,"Southeast 3-10-170-1,Football, Church, Volunteer,Witness a friend get shot and killed,Church/school,Football,Football,No group",fear
Southeast 3-10-169-1,"Volunteer, football, Church",Friend was shot and killed,Church/school,Football,Friends in Hood,Football,No group,,,"Southeast 3-10-169-1,Volunteer, football, Church,Friend was shot and killed,Church/school,Football,Friends in Hood,Football,No group",fear
Southeast 3-10-167-1,"Football, Church, Volunteer",Friend was killed by rival neighborhood,Church/school,Football,,Football,No group,,,"Southeast 3-10-167-1,Football, Church, Volunteer,Friend was killed by rival neighborhood,Church/school,Football,Football,No group",sadness
Southeast 3-10-172-1,"Football, Church, Volunteer",Friend was killed,Church/Park Rec,Football,Chapter Two Inc,Football,No group,,,"Southeast 3-10-172-1,Football, Church, Volunteer,Friend was killed,Church/Park Rec,Football,Chapter Two Inc,Football,No group",fear
Southwest 1-15-357-2,,Friend died,,,,No other group,Group,A lot of friends going to jail,School,"Southwest 1-15-357-2,Friend died,No other group,Group,A lot of friends going to jail,School",sadness
Southeast 3-10-171-1,"Church, Volunteer, Football",Friend was shot but did not die,Church,Football,,Football,No group,,,"Southeast 3-10-171-1,Church, Volunteer, Football,Friend was shot but did not die,Church,Football,Football,No group",fear
77th 2-13-1396-1,"Football, Volunteer, Church",Best friend was shot and killed,Church,Football,Chapter Two Inc,Football,No group,,,"77th 2-13-1396-1,Football, Volunteer, Church,Best friend was shot and killed,Church,Football,Chapter Two Inc,Football,No group",sadness
77th 2-13-1398-1,"Reading, Church, Volunteer",Friend was jump and murdered,Schools,Football,Chapter Two Inc,Football,No group,,,"77th 2-13-1398-1,Reading, Church, Volunteer,Friend was jump and murdered,Schools,Football,Chapter Two Inc,Football,No group",fear
77th 2-13-1395-1,"Volunteer, Church",Friend was killed,24 Fitness,Football,Chapter Two Inc,Football,No group,,,"77th 2-13-1395-1,Volunteer, Church,Friend was killed,24 Fitness,Football,Chapter Two Inc,Football,No group",fear
77th 2-13-1397-1,"Football, Church, Volunteer",Friend was killed,Church,Football,Chapter Two Inc,Football,No group,,,"77th 2-13-1397-1,Football, Church, Volunteer,Friend was killed,Church,Football,Chapter Two Inc,Football,No group",fear
Southwest 1-15-356-2,Comes to the teen club,He is stressed. Client wants to work,School and Basketball Teammates,Tenn Club/ Basketball team at school,"CBI, Teen Club, Basketball","CBI. Teen Club., Basketball at school",No group,,,"Southwest 1-15-356-2,Comes to the teen club,He is stressed. Client wants to work,School and Basketball Teammates,Tenn Club/ Basketball team at school,CBI, Teen Club, Basketball,CBI. Teen Club., Basketball at school,No group",fear
Southwest 2-23-92-1,Sports,Got arrested,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Southwest 2-23-92-1,Sports,Got arrested,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",neutral
Newton 1-17-274-1,,Not sustaining a job,,,,No other group,Friends,No,No,"Newton 1-17-274-1,Not sustaining a job,No other group,Friends,No,No",sadness
Southwest 2-23-126-1,I go to my program GRYD.,We were evicted from our home.,School basketball team,,GRYD,Volunteers of America (GRYD),No group,,,"Southwest 2-23-126-1,I go to my program GRYD.,We were evicted from our home.,School basketball team,GRYD,Volunteers of America (GRYD),No group",neutral
Southwest 2-23-115-1,I go to my program for different activities and I workout,My family does not accept my baby because he is active,School,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Southwest 2-23-115-1,I go to my program for different activities and I workout,My family does not accept my baby because he is active,School,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",sadness
Newton 1-17-62-2,Fishing,Seeing my father sick,School,,,School,The Crips,"Being tired of getting in trouble, a desire to change",,"Newton 1-17-62-2,Fishing,Seeing my father sick,School,School,The Crips,Being tired of getting in trouble, a desire to change",fear
CPHBRE-0-109-1,Therapy. music class,Cousin was killed,,,Homeboy Industries,Homeboy Industry,Homies,"No, nothing",Having a job and housing program,"CPHBRE-0-109-1,Therapy. music class,Cousin was killed,Homeboy Industries,Homeboy Industry,Homies,No, nothing,Having a job and housing program",sadness
Newton 1-17-271-1,Working out,Friend was killed,,Firefighter training,,Firefighter training,No group,,,"Newton 1-17-271-1,Working out,Friend was killed,Firefighter training,Firefighter training,No group",fear
Southwest 1-15-364-2,,Homie was killed in the park,,,,No other group,Group,No,No,"Southwest 1-15-364-2,Homie was killed in the park,No other group,Group,No,No",fear
Foothill-14-430-1,"Soccer, boxing, volleyball, leadership and student body council",Mom left last year. Cousin got shot and killed.,His main friends from school and training activities. Sports/leadership,"Soccer, boxing, volleyball, leadership and student council","His acquaintances, people he knows",A1: School/training activities (TAs),Fake Asses,Group has started instigating problems and giving client false information. Client moved away from group and they resent client for it.,"Opportunities have opened like: getting a job at Wells Fargo, college, tuition, scholarships, chance to leave LA to San Francisco.","Foothill-14-430-1,Soccer, boxing, volleyball, leadership and student body council,Mom left last year. Cousin got shot and killed.,His main friends from school and training activities. Sports/leadership,Soccer, boxing, volleyball, leadership and student council,His acquaintances, people he knows,A1: School/training activities (TAs),Fake Asses,Group has started instigating problems and giving client false information. Client moved away from group and they resent client for it.,Opportunities have opened like: getting a job at Wells Fargo, college, tuition, scholarships, chance to leave LA to San Francisco.",sadness
Southwest 1-15-366-2,Workout,Parents had a big fight,,,,No other group,No group,,,"Southwest 1-15-366-2,Workout,Parents had a big fight,No other group,No group",sadness
Southwest 1-15-348-3,,Parents divorced,,,,No other group,Group,No,No,"Southwest 1-15-348-3,Parents divorced,No other group,Group,No,No",sadness
Southwest 1-15-358-2,Working out,Became homeless,,,,No other group,Group,Being homeless,,"Southwest 1-15-358-2,Working out,Became homeless,No other group,Group,Being homeless",fear
Pacific-18-245-1,"Counseling, life skills",My mother passed away,,,Life skills,Helper Foundation,Homies,"My mom died last year, it is crazy. I was all messed up. It made me feel mad. It is better now.","Going to independent study is better for me. I felt like I could catch up at Venice High. My mom died, I missed school. It was all messed up, now I am catching up","Pacific-18-245-1,Counseling, life skills,My mother passed away,Life skills,Helper Foundation,Homies,My mom died last year, it is crazy. I was all messed up. It made me feel mad. It is better now.,Going to independent study is better for me. I felt like I could catch up at Venice High. My mom died, I missed school. It was all messed up, now I am catching up",sadness
Newton 1-17-117-2,,School,,,,No other group,Friends,No,No,"Newton 1-17-117-2,School,No other group,Friends,No,No",neutral
77th 2-13-1448-1,,Everything a lot,School friends,,School friends,School friends,Homegirls,Myself I do not know why I just do not like people or being around people like that. I just go through a lot that I do not talk about.,Depression and stress,"77th 2-13-1448-1,Everything a lot,School friends,School friends,School friends,Homegirls,Myself I do not know why I just do not like people or being around people like that. I just go through a lot that I do not talk about.,Depression and stress",fear
77th 2-13-1447-1,Cosmetology volunteer,"Everything, just too much",school friend,,,Chapter 2,The homegirls / homies,No nothing has happened in the last 6 months,Yes my cousin had a baby and now we dont hang much - STRESS! A lot of stress 24/7/365,"77th 2-13-1447-1,Cosmetology volunteer,Everything, just too much,school friend,Chapter 2,The homegirls / homies,No nothing has happened in the last 6 months,Yes my cousin had a baby and now we dont hang much - STRESS! A lot of stress 24/7/365",fear
Southwest 2-23-172-1,Playing sports and video games,I had a fight and I lost,,,,No other group,No group,,,"Southwest 2-23-172-1,Playing sports and video games,I had a fight and I lost,No other group,No group",sadness
Devonshire-Topanga-11-101-1,"Think about my life, talk to my school friends",Seeing my family sad,School friends,New skillz on the block/GRYD,Park friends,Park friends,Friends in the neighborhood,Seeing my friend in the hospital hurt and seeing his mom sad,I started going to school and hanging out in new spots in my block,"Devonshire-Topanga-11-101-1,Think about my life, talk to my school friends,Seeing my family sad,School friends,New skillz on the block/GRYD,Park friends,Park friends,Friends in the neighborhood,Seeing my friend in the hospital hurt and seeing his mom sad,I started going to school and hanging out in new spots in my block",sadness
Southwest 1-15-305-2,Working out,Best friend was killed,,,,No other group,Group,No,To get a job. The need for money.,"Southwest 1-15-305-2,Working out,Best friend was killed,No other group,Group,No,To get a job. The need for money.",sadness
Southwest 2-23-182-1,Playing basketball and reading books,I lost a fight,,,,No other group,No group,,,"Southwest 2-23-182-1,Playing basketball and reading books,I lost a fight,No other group,No group",sadness
Southwest 2-23-179-1,"Daily walking, working out to lose weight",My daughter got taken away. DCFS.,,,,No other group,No group,,,"Southwest 2-23-179-1,Daily walking, working out to lose weight,My daughter got taken away. DCFS.,No other group,No group",sadness
Foothill-14-314-1,,"My mom is out on the streets ""homeless""",,,,No other group,No group,,,"Foothill-14-314-1,My mom is out on the streets ""homeless"",No other group,No group",sadness
Hollenbeck 1-20-186-2,,Family issues,,,,No other group,Friends,No,No,"Hollenbeck 1-20-186-2,Family issues,No other group,Friends,No,No",sadness
Foothill-14-375-1,,Moving to a different neighborhood,GRYD clients,,,No other group,No group,,,"Foothill-14-375-1,Moving to a different neighborhood,GRYD clients,No other group,No group",neutral
Southwest 1-15-308-3,Employment search,My younger sister was killed,,,,No other group,Group,Sister was killed,,"Southwest 1-15-308-3,Employment search,My younger sister was killed,No other group,Group,Sister was killed",sadness
Northeast-20-278-2,,Being a young dad,,,,No other group,Homies,Being shot at,Trying to better myself for my own good and my son's life to try to become someone,"Northeast-20-278-2,Being a young dad,No other group,Homies,Being shot at,Trying to better myself for my own good and my son's life to try to become someone",neutral
Harbor-21-212-1,,Seen a dead body,,,,No other group,Lil,Saw a dead body at a party on New Years,Working with [mentor name] as my mentor,"Harbor-21-212-1,Seen a dead body,No other group,Lil,Saw a dead body at a party on New Years,Working with [mentor name] as my mentor",fear
Foothill-14-428-1,,Mom went through break up with bf.,School friends,Soccer team,Friends outside of school,School friends,No group,,,"Foothill-14-428-1,Mom went through break up with bf.,School friends,Soccer team,Friends outside of school,School friends,No group",sadness
Southwest 2-23-161-1,I go to my program (GRYD).,Me and my mom fight a lot.,,GRYD,GRYD,GRYD,No group,,,"Southwest 2-23-161-1,I go to my program (GRYD).,Me and my mom fight a lot.,GRYD,GRYD,GRYD,No group",neutral
Newton 2-23-198-1,Participates in GRYD program,Mother got killed by (LAPD). Lawsuit was filed. Very stressful.,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-198-1,Participates in GRYD program,Mother got killed by (LAPD). Lawsuit was filed. Very stressful.,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",fear
Newton 1-17-268-1,,Being away from wife and children,Work,,Neighborhood friends,Neighborhood friends,No group,,,"Newton 1-17-268-1,Being away from wife and children,Work,Neighborhood friends,Neighborhood friends,No group",sadness
Southwest 1-15-374-2,,Living in jail,,,,No other group,Group,No,No,"Southwest 1-15-374-2,Living in jail,No other group,Group,No,No",neutral
Newton 1-17-251-1,,Maternal uncle was assasinated in Mexico,School,,,School,No group,,,"Newton 1-17-251-1,Maternal uncle was assasinated in Mexico,School,School,No group",sadness
Foothill-14-388-1,,My father being deported,,,,No other group,Homies,More and more homies are dying,I want to finish with high school,"Foothill-14-388-1,My father being deported,No other group,Homies,More and more homies are dying,I want to finish with high school",sadness
Newton 1-17-250-1,,Maternal uncle got killed in Mexico,School,,,School,No group,,,"Newton 1-17-250-1,Maternal uncle got killed in Mexico,School,School,No group",sadness
Southwest 2-23-143-2,I go to my GRYD program,I had a big fight with my mother's boyfriend,,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Southwest 2-23-143-2,I go to my GRYD program,I had a big fight with my mother's boyfriend,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",sadness
Northeast-20-284-2,Life skills classes,Job loss,"Friends, L.I.F.E",L.I.F.E,,SEA,Friends,No,Yes. I became distant with friends due to their childish ways,"Northeast-20-284-2,Life skills classes,Job loss,Friends, L.I.F.E,L.I.F.E,SEA,Friends,No,Yes. I became distant with friends due to their childish ways",sadness
Southwest 2-23-160-1,Reading. hobbbies. yoga,I get a bad grade in school. Knew I could have done better,,,,No other group,No group,,,"Southwest 2-23-160-1,Reading. hobbbies. yoga,I get a bad grade in school. Knew I could have done better,No other group,No group",sadness
Southwest 2-23-128-2,"Going to the library, going to the park meditation",Mom go mad made me clean up,,,,No other group,No group,,,"Southwest 2-23-128-2,Going to the library, going to the park meditation,Mom go mad made me clean up,No other group,No group",sadness
Southeast 3-10-197-1,,Got into a fight,School friends,,,School friends,No group,,,"Southeast 3-10-197-1,Got into a fight,School friends,School friends,No group",sadness
Foothill-14-389-1,Teaching myself how to draw,I got jumped walking home from school,,,GRYD clients,No other group,Homies,People dying and going to jail is the norm around here. I don't want to be part of that norm.,My parents are getting old. I want to make them proud of me. I need to graduate.,"Foothill-14-389-1,Teaching myself how to draw,I got jumped walking home from school,GRYD clients,No other group,Homies,People dying and going to jail is the norm around here. I don't want to be part of that norm.,My parents are getting old. I want to make them proud of me. I need to graduate.",fear
Northeast-20-325-1,Life[illeg]/Faith based [illeg],Father death,"School, L.I.F.E","Acting Club, photography club",Friends in L.I.F.E,SEA,No group,"""Yes"" [illeg] that chills with my homies",Yes. Since I am busy with S.E.A. I do not kick with them after school,"Northeast-20-325-1,Life[illeg]/Faith based [illeg],Father death,School, L.I.F.E,Acting Club, photography club,Friends in L.I.F.E,SEA,No group,""Yes"" [illeg] that chills with my homies,Yes. Since I am busy with S.E.A. I do not kick with them after school",sadness
Southwest 2-23-183-1,"Gym, working out",Me and my girlfriend broke up,,,,Varrio,Homeboys,No,No,"Southwest 2-23-183-1,Gym, working out,Me and my girlfriend broke up,Varrio,Homeboys,No,No",sadness
Southeast 3-10-190-1,,Got into a fight,School friends,,,School friends,No group,,,"Southeast 3-10-190-1,Got into a fight,School friends,School friends,No group",sadness
77th 3-20-288-1,"""does not do self-improvement activities""","""none of these things happened in the last 6 months""",School friends,,Friends,No other group,No group,,,"77th 3-20-288-1,""does not do self-improvement activities"",""none of these things happened in the last 6 months"",School friends,Friends,No other group,No group",neutral
Newton 1-17-232-1,,Being shot,Church,,School,School,No group,,,"Newton 1-17-232-1,Being shot,Church,School,School,No group",fear
Olympic-12-138-2,Community service,School,School friends,,,School friends,No group,,,"Olympic-12-138-2,Community service,School,School friends,School friends,No group",neutral
Northeast-20-303-1,,Losing job,,,,No other group,Homies,"Homies sent to jail, homies have been killed",Paying more attention to my family,"Northeast-20-303-1,Losing job,No other group,Homies,Homies sent to jail, homies have been killed,Paying more attention to my family",sadness
CPHBRE-0-110-1,,Parents breakup,,,,No other group,Homies,No nothing has really happened,I guess being in a relationship with my boyfriend,"CPHBRE-0-110-1,Parents breakup,No other group,Homies,No nothing has really happened,I guess being in a relationship with my boyfriend",sadness
Foothill-14-440-1,,I'm having a hard time with housing,,,,No other group,Homies,I got into a fight with family members - they got hurt - I went to jail and lost my job - housing has also been a big problem for me,My girlfrend has a baby that I'm responsible for and she is pregnant with my baby,"Foothill-14-440-1,I'm having a hard time with housing,No other group,Homies,I got into a fight with family members - they got hurt - I went to jail and lost my job - housing has also been a big problem for me,My girlfrend has a baby that I'm responsible for and she is pregnant with my baby",sadness
Mission-14-325-1,Sports/volunteer work,Problems at home,School,,Friends,Friends,No group,,,"Mission-14-325-1,Sports/volunteer work,Problems at home,School,Friends,Friends,No group",fear
Newton 2-23-175-1,Community events,During my pregnancy my Father wasn't supportive,Friends From the GRYD program,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-175-1,Community events,During my pregnancy my Father wasn't supportive,Friends From the GRYD program,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",fear
Northeast-20-10-3,,Broke my hand,,,,No other group,Homies,Family getting killed and shot at.,Having a daughter,"Northeast-20-10-3,Broke my hand,No other group,Homies,Family getting killed and shot at.,Having a daughter",sadness
Mission-14-322-1,,"Stress, with family & break up",School friends,,Friends,School Friends,No group,,,"Mission-14-322-1,Stress, with family & break up,School friends,Friends,School Friends,No group",sadness
Southwest 2-23-138-1,"Go hiking, go to my program job, in the evening.","Got in trouble in school, got more community service hours.",School,,VOALA,Volunteers of America (GRYD),No group,,,"Southwest 2-23-138-1,Go hiking, go to my program job, in the evening.,Got in trouble in school, got more community service hours.,School,VOALA,Volunteers of America (GRYD),No group",joy
Foothill-14-433-2,Church,Father passed away due to health,Church,Theology class,Sat & Tues,Church,Homies,Due to fights,Being pregnant & going to church,"Foothill-14-433-2,Church,Father passed away due to health,Church,Theology class,Sat & Tues,Church,Homies,Due to fights,Being pregnant & going to church",sadness
Mission-14-321-1,,Mom passed away 6 months,,,,No other group,Homies,"Not in the last 6 months, but I have been working on change before that.","Finance, School, Work.","Mission-14-321-1,Mom passed away 6 months,No other group,Homies,Not in the last 6 months, but I have been working on change before that.,Finance, School, Work.",sadness
Southwest 2-23-90-2,Client loves yoga,"Me and mom used to fight a lot, it's been better",,Client attends activities in VOALA program,Client attends field trip (GRYD),Volunteers of America (GRYD),No group,,,"Southwest 2-23-90-2,Client loves yoga,Me and mom used to fight a lot, it's been better,Client attends activities in VOALA program,Client attends field trip (GRYD),Volunteers of America (GRYD),No group",neutral
Mission-14-326-1,Attending church,Homelessness,Church,,,No other group,No group,,,"Mission-14-326-1,Attending church,Homelessness,Church,No other group,No group",sadness
77th 1-16-110-1,,Got into it with my family; now kick [sic] out of house,,,Church,Church,Hood,"Yes, my parent kicked me out they found about may [sic] gang ties",Going to church,"77th 1-16-110-1,Got into it with my family; now kick [sic] out of house,Church,Church,Hood,Yes, my parent kicked me out they found about may [sic] gang ties,Going to church",anger
Newton 1-17-56-2,,My dad moved to New York,School friends,,,School Friends,No group,,,"Newton 1-17-56-2,My dad moved to New York,School friends,School Friends,No group",neutral
Mission-14-328-1,Church,Grandmother is sick,Church,Becoming a member,Church,Church,Homies,My cousin got shot by my own Homie/hood,"Started going church, work, Juv Hall","Mission-14-328-1,Church,Grandmother is sick,Church,Becoming a member,Church,Church,Homies,My cousin got shot by my own Homie/hood,Started going church, work, Juv Hall",sadness
Devonshire-Topanga-11-152-1,,Lost custody of son,,,,No other group,Homies,,,"Devonshire-Topanga-11-152-1,Lost custody of son,No other group,Homies",sadness
Newton 1-17-227-1,,Father dying,school,,neighbors,school,No group,,,"Newton 1-17-227-1,Father dying,school,neighbors,school,No group",sadness
Foothill-14-451-1,Coaching Soccer Team,"Graduation, Trying to make it this year.",School,Soccer team,Soccer Players,Soccer Team,No group,,,"Foothill-14-451-1,Coaching Soccer Team,Graduation, Trying to make it this year.,School,Soccer team,Soccer Players,Soccer Team,No group",fear
Newton 1-17-225-1,,Father moved to New York,,Soccer team,,Soccer Team,No group,,,"Newton 1-17-225-1,Father moved to New York,Soccer team,Soccer Team,No group",neutral
Newton 2-23-277-1,Substance Abuse & Anger Management workshops,Being in an abusive relationship and being in jail,GRYD Friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,"Something that pushed me away was running aware from home, being in an abusive relationship and being in jail",No nothing have happened,"Newton 2-23-277-1,Substance Abuse & Anger Management workshops,Being in an abusive relationship and being in jail,GRYD Friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,Something that pushed me away was running aware from home, being in an abusive relationship and being in jail,No nothing have happened",sadness
Harbor-21-214-1,,Parents leaving to mexico,,,,No other group,Homies,Graduating high school soon,,"Harbor-21-214-1,Parents leaving to mexico,No other group,Homies,Graduating high school soon",sadness
Northeast-20-268-2,,Being homeless,,,,No other group,Homies,Them being smoked out all the time,Focusing on my health,"Northeast-20-268-2,Being homeless,No other group,Homies,Them being smoked out all the time,Focusing on my health",fear
Harbor-21-215-1,Church service,Kicked out of home,church group,,,Church group,Homies,Graduating school,Church,"Harbor-21-215-1,Church service,Kicked out of home,church group,Church group,Homies,Graduating school,Church",sadness
Southwest 2-23-169-1,I go to my VOALA program,Kicked out of school,school,,,GRYD,No group,,,"Southwest 2-23-169-1,I go to my VOALA program,Kicked out of school,school,GRYD,No group",joy
Harbor-21-196-1,,Dad went to hospital and almost died,,,,GRYD,Gee's,Dad went to hospital and almost died,Getting LA hire job in June,"Harbor-21-196-1,Dad went to hospital and almost died,GRYD,Gee's,Dad went to hospital and almost died,Getting LA hire job in June",sadness
77th 1-16-111-1,,Mom kicked me out now I move with baby daddy we ain't getting along I have a new baby,,,[case manager name],[case manager name],No group,,,"77th 1-16-111-1,Mom kicked me out now I move with baby daddy we ain't getting along I have a new baby,[case manager name],[case manager name],No group",joy
Harbor-21-184-2,,Got jumped twice,,,,No other group,Denk,Got jumped twice,No,"Harbor-21-184-2,Got jumped twice,No other group,Denk,Got jumped twice,No",neutral
