S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion
Outings with VOALA and basketball at the GRYD program,I was facing jail time.,School friends and GRYD friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),Play Boys,Nope,Nope,fear
,Not being able to get a job,,,,No other group,Homies,No,No,neutral
Workout,My friend was killed,,,,No other group,No name,Friend was killed,Going to school,sadness
,Homie killed,,,,No other group,No group,,,fear
Exercising/walking,School is closing,,,,No other group,Group,Cousin was killed,Attending school,neutral
Go to my program and do parenting,My baby dad has domestic issues,,GRYD,,GRYD,No group,,,neutral
,Having kidney failure,,,,Group,Group,My daughter's father was killed in 2009 and I have never been the same. Then on the same day 2 years later I got sick with lupus and kidney failure.,Had my daughter,sadness
,Messing up in school,,,,No other group,My Boys,I'm good,,neutral
,Got jumped,,,,No other group,Group,No,No,neutral
"Football, Church, Volunteer",Witness my friend being shot and murdered,Church,Football,Chapter Two Inc,Football,No group,,,fear
,Homeless,,,,No other group,Homies,No,No,fear
"Football, Volunteer, Church",Friend was shot and killed,Church,Football,,Football,No group,,,fear
"Football, Church, Volunteer",Witness a friend get shot and killed,Church/school,Football,,Football,No group,,,fear
"Volunteer, football, Church",Friend was shot and killed,Church/school,Football,Friends in Hood,Football,No group,,,fear
"Football, Church, Volunteer",Friend was killed by rival neighborhood,Church/school,Football,,Football,No group,,,fear
"Football, Church, Volunteer",Friend was killed,Church/Park Rec,Football,Chapter Two Inc,Football,No group,,,sadness
,Friend died,,,,No other group,Group,A lot of friends going to jail,School,sadness
"Church, Volunteer, Football",Friend was shot but did not die,Church,Football,,Football,No group,,,sadness
"Football, Volunteer, Church",Best friend was shot and killed,Church,Football,Chapter Two Inc,Football,No group,,,fear
"Reading, Church, Volunteer",Friend was jump and murdered,Schools,Football,Chapter Two Inc,Football,No group,,,fear
"Volunteer, Church",Friend was killed,24 Fitness,Football,Chapter Two Inc,Football,No group,,,sadness
"Football, Church, Volunteer",Friend was killed,Church,Football,Chapter Two Inc,Football,No group,,,sadness
Comes to the teen club,He is stressed. Client wants to work,School and Basketball Teammates,Tenn Club/ Basketball team at school,"CBI, Teen Club, Basketball","CBI. Teen Club., Basketball at school",No group,,,neutral
Sports,Got arrested,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
,Not sustaining a job,,,,No other group,Friends,No,No,neutral
I go to my program GRYD.,We were evicted from our home.,School basketball team,,GRYD,Volunteers of America (GRYD),No group,,,neutral
I go to my program for different activities and I workout,My family does not accept my baby because he is active,School,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness
Fishing,Seeing my father sick,School,,,School,The Crips,"Being tired of getting in trouble, a desire to change",,sadness
Therapy. music class,Cousin was killed,,,Homeboy Industries,Homeboy Industry,Homies,"No, nothing",Having a job and housing program,fear
Working out,Friend was killed,,Firefighter training,,Firefighter training,No group,,,sadness
,Homie was killed in the park,,,,No other group,Group,No,No,fear
"Soccer, boxing, volleyball, leadership and student body council",Mom left last year. Cousin got shot and killed.,His main friends from school and training activities. Sports/leadership,"Soccer, boxing, volleyball, leadership and student council","His acquaintances, people he knows",A1: School/training activities (TAs),Fake Asses,Group has started instigating problems and giving client false information. Client moved away from group and they resent client for it.,"Opportunities have opened like: getting a job at Wells Fargo, college, tuition, scholarships, chance to leave LA to San Francisco.",fear
Workout,Parents had a big fight,,,,No other group,No group,,,neutral
,Parents divorced,,,,No other group,Group,No,No,sadness
Working out,Became homeless,,,,No other group,Group,Being homeless,,sadness
"Counseling, life skills",My mother passed away,,,Life skills,Helper Foundation,Homies,"My mom died last year, it is crazy. I was all messed up. It made me feel mad. It is better now.","Going to independent study is better for me. I felt like I could catch up at Venice High. My mom died, I missed school. It was all messed up, now I am catching up",sadness
,School,,,,No other group,Friends,No,No,neutral
,Everything a lot,School friends,,School friends,School friends,Homegirls,Myself I do not know why I just do not like people or being around people like that. I just go through a lot that I do not talk about.,Depression and stress,neutral
Cosmetology volunteer,"Everything, just too much",school friend,,,Chapter 2,The homegirls / homies,No nothing has happened in the last 6 months,Yes my cousin had a baby and now we dont hang much - STRESS! A lot of stress 24/7/365,neutral
Playing sports and video games,I had a fight and I lost,,,,No other group,No group,,,anger
"Think about my life, talk to my school friends",Seeing my family sad,School friends,New skillz on the block/GRYD,Park friends,Park friends,Friends in the neighborhood,Seeing my friend in the hospital hurt and seeing his mom sad,I started going to school and hanging out in new spots in my block,sadness
Working out,Best friend was killed,,,,No other group,Group,No,To get a job. The need for money.,sadness
Playing basketball and reading books,I lost a fight,,,,No other group,No group,,,sadness
"Daily walking, working out to lose weight",My daughter got taken away. DCFS.,,,,No other group,No group,,,neutral
,"My mom is out on the streets ""homeless""",,,,No other group,No group,,,fear
,Family issues,,,,No other group,Friends,No,No,neutral
,Moving to a different neighborhood,GRYD clients,,,No other group,No group,,,joy
Employment search,My younger sister was killed,,,,No other group,Group,Sister was killed,,fear
,Being a young dad,,,,No other group,Homies,Being shot at,Trying to better myself for my own good and my son's life to try to become someone,joy
,Seen a dead body,,,,No other group,Lil,Saw a dead body at a party on New Years,Working with [mentor name] as my mentor,fear
,Mom went through break up with bf.,School friends,Soccer team,Friends outside of school,School friends,No group,,,neutral
I go to my program (GRYD).,Me and my mom fight a lot.,,GRYD,GRYD,GRYD,No group,,,joy
Participates in GRYD program,Mother got killed by (LAPD). Lawsuit was filed. Very stressful.,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,fear
,Being away from wife and children,Work,,Neighborhood friends,Neighborhood friends,No group,,,fear
,Living in jail,,,,No other group,Group,No,No,neutral
,Maternal uncle was assasinated in Mexico,School,,,School,No group,,,neutral
,My father being deported,,,,No other group,Homies,More and more homies are dying,I want to finish with high school,fear
,Maternal uncle got killed in Mexico,School,,,School,No group,,,fear
I go to my GRYD program,I had a big fight with my mother's boyfriend,,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
Life skills classes,Job loss,"Friends, L.I.F.E",L.I.F.E,,SEA,Friends,No,Yes. I became distant with friends due to their childish ways,sadness
Reading. hobbbies. yoga,I get a bad grade in school. Knew I could have done better,,,,No other group,No group,,,neutral
"Going to the library, going to the park meditation",Mom go mad made me clean up,,,,No other group,No group,,,neutral
,Got into a fight,School friends,,,School friends,No group,,,joy
Teaching myself how to draw,I got jumped walking home from school,,,GRYD clients,No other group,Homies,People dying and going to jail is the norm around here. I don't want to be part of that norm.,My parents are getting old. I want to make them proud of me. I need to graduate.,neutral
Life[illeg]/Faith based [illeg],Father death,"School, L.I.F.E","Acting Club, photography club",Friends in L.I.F.E,SEA,No group,"""Yes"" [illeg] that chills with my homies",Yes. Since I am busy with S.E.A. I do not kick with them after school,sadness
"Gym, working out",Me and my girlfriend broke up,,,,Varrio,Homeboys,No,No,sadness
,Got into a fight,School friends,,,School friends,No group,,,joy
"""does not do self-improvement activities""","""none of these things happened in the last 6 months""",School friends,,Friends,No other group,No group,,,fear
,Being shot,Church,,School,School,No group,,,fear
Community service,School,School friends,,,School friends,No group,,,neutral
,Losing job,,,,No other group,Homies,"Homies sent to jail, homies have been killed",Paying more attention to my family,fear
,Parents breakup,,,,No other group,Homies,No nothing has really happened,I guess being in a relationship with my boyfriend,sadness
,I'm having a hard time with housing,,,,No other group,Homies,I got into a fight with family members - they got hurt - I went to jail and lost my job - housing has also been a big problem for me,My girlfrend has a baby that I'm responsible for and she is pregnant with my baby,neutral
Sports/volunteer work,Problems at home,School,,Friends,Friends,No group,,,fear
Community events,During my pregnancy my Father wasn't supportive,Friends From the GRYD program,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,joy
,Broke my hand,,,,No other group,Homies,Family getting killed and shot at.,Having a daughter,fear
,"Stress, with family & break up",School friends,,Friends,School Friends,No group,,,joy
"Go hiking, go to my program job, in the evening.","Got in trouble in school, got more community service hours.",School,,VOALA,Volunteers of America (GRYD),No group,,,joy
Church,Father passed away due to health,Church,Theology class,Sat & Tues,Church,Homies,Due to fights,Being pregnant & going to church,neutral
,Mom passed away 6 months,,,,No other group,Homies,"Not in the last 6 months, but I have been working on change before that.","Finance, School, Work.",fear
Client loves yoga,"Me and mom used to fight a lot, it's been better",,Client attends activities in VOALA program,Client attends field trip (GRYD),Volunteers of America (GRYD),No group,,,neutral
Attending church,Homelessness,Church,,,No other group,No group,,,neutral
,Got into it with my family; now kick [sic] out of house,,,Church,Church,Hood,"Yes, my parent kicked me out they found about may [sic] gang ties",Going to church,sadness
,My dad moved to New York,School friends,,,School Friends,No group,,,neutral
Church,Grandmother is sick,Church,Becoming a member,Church,Church,Homies,My cousin got shot by my own Homie/hood,"Started going church, work, Juv Hall",sadness
,Lost custody of son,,,,No other group,Homies,,,neutral
,Father dying,school,,neighbors,school,No group,,,sadness
Coaching Soccer Team,"Graduation, Trying to make it this year.",School,Soccer team,Soccer Players,Soccer Team,No group,,,fear
,Father moved to New York,,Soccer team,,Soccer Team,No group,,,neutral
Substance Abuse & Anger Management workshops,Being in an abusive relationship and being in jail,GRYD Friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,"Something that pushed me away was running aware from home, being in an abusive relationship and being in jail",No nothing have happened,sadness
,Parents leaving to mexico,,,,No other group,Homies,Graduating high school soon,,fear
,Being homeless,,,,No other group,Homies,Them being smoked out all the time,Focusing on my health,fear
Church service,Kicked out of home,church group,,,Church group,Homies,Graduating school,Church,joy
I go to my VOALA program,Kicked out of school,school,,,GRYD,No group,,,fear
,Dad went to hospital and almost died,,,,GRYD,Gee's,Dad went to hospital and almost died,Getting LA hire job in June,sadness
,Mom kicked me out now I move with baby daddy we ain't getting along I have a new baby,,,[case manager name],[case manager name],No group,,,joy
,Got jumped twice,,,,No other group,Denk,Got jumped twice,No,neutral
Playing basketball,Was hurt by an uncle,,,,No other group,No group,,,sadness
"I go to my program, and to activities",At school I be getting hit up,"Work, and gyn",,Skateboarding,GRYD,No group,,,neutral
Christian church,Got kicked out of school,Church friends,Helping with church,,No name,Group,Client's family doesn't want to see him.,School and getting a job.,joy
Church activities,Being homeless,Good friends,Football team,,Football team,No group,,,fear
Job readiness,Got beat up bad.,,,,No other group,No group,,,fear
,Being homeless,School friends,,,School friends,No group,,,fear
,Family blames on brother death,,,Lowriding,Lowriders,16th Street,Family blame on brother's death,No,sadness
Clients meets with CIW for mentoring,Want a better job,Coworkers,CBInc,CBInc,CBInc,Group,,,neutral
Didn't share,Decline to state what happened,,,,No other group,No group,,,neutral
GRYD,DCFS was called,Rainbow,Rainbow,Rainbow,Rainbow,Winter,DCFS,Filled child custody,neutral
Reading and exercising,Child was taken by DCFS,,,,No other group,No group,,,neutral
"Sports, music",My grandma passing away,Basketball friends,,,basketball friends,Friends from school,"Yes, my grandmother passing away",Just wanting to do good after my grandmother died,fear
GRYD,Best friend was killed,Work Guys,,,Work Guys,Dubs,Best friend was killed,Got full time job to get own apartment,sadness
,Losing my child's father,school friends,,[mentor name],Mentor,No group,,,sadness
,Family getting jumped,,,,No other group,Group,No,No,joy
,kids got taken away by DCFS,,,,No other group,No group,,,neutral
,My brother got jumped,,,,No other group,Group,No,Changing school,neutral
I go to my program as much as I can,I was arrested for acquisition at school,,GRYD,,Volunteers of America (GRYD),No group,,,neutral
GRYD program,Close friend passed away,,,,No other group,My friends,No,No,sadness
Workout,Friend went to prison,,,,No other group,Group,A lot of my friends were killed,Working,sadness
,Trying to obtain a reasonable pay wage,,,,No other group,Group,My first born son has given me a different outlook on life.,Having a child,neutral
,Close friend went to prison,,,,No other group,Group,,,sadness
Art work,Grandma sister passed away,,,,No other group,No group,,,sadness
,Went to jail for a gun,,,,No other group,Dub,Went to jail for gun,No,neutral
,lost all rights to see son,SEA,,SEA,SEA,No group,,,sadness
"CBI, teen club, community basketball",Can't wait till 16 so he can work,School/b ball team,teen club/b ball team,,No name,No group,,,joy
,Low grades,,,,No other group,Homies,2 of my homies getting blasted,My girl and trying to get a job,neutral
,DCFS,,,,No other group,Girlz,DCFS still going,No,neutral
Working out/power walking,Cell phone was stolent,,,,No other group,Group,Cousin was killed,Trying to graduate high school,neutral
Gym/run,School closing,,,,No other group,Group,Nothing,Trying to finish school,joy
,school,,,,No other group,Friends,no,"yes, school",neutral
,Grandmother got very sick,Sports,Torrance,Sports,Pirates,Dodge,Grandmother got very sick,No,sadness
,Not having a job,,,,No other group,Homies,Homies getting locked up,Having a boyfriend,neutral
,Got sucker punched,,,,No other group,No group,,,neutral
,Got jumped,,,,No other group,No group,,,neutral
YES program,addiction,,,other friends,other friends,Friends,my addiction has pushed me away,"stay sober, daugher, job",neutral
GRYD/Hopics,DV case/conflicted relationship with kids' father,,,GRYD,No other group,No group,,,sadness
,Broke ankle,Soccer team,,,Soccer team,No group,,,fear
Clean room in house,"Might be a dad, being on probation",,,,No other group,Mahar,"Because of probation, the fight that opened my eyes at school",Having a baby (possible),neutral
,Medical scare. Loss of a friend,School friends,,,School friends,No group,,,fear
YES program,Famliy and friends,,,,No other group,Friends,No,No,neutral
,School and losing of friend,,,,No other group,Friends,No,No,sadness
Community service,Getting more tickets,,,,,Homies,No,Working,neutral
GRYD program,Lose [sic] of baby,Job friend,,GRYD,No other group,No group,,,fear
Volunteer at library,Family issues and moving out of town.,,,,No other group,Homies,Got detained doing a beer run and got fined for doing. I didnt do,Focusing on school and finding work,joy
I go to my anger management program,I had a bad fight with my best friend,School friends,,VOALA,Volunteers of America (GRYD),No group,,,sadness
"School, CBI, bake sales",Not trying to be homeless,"School, CBI","Community teen club/former, CBI",CBI,Other group,Group,Working with CBI and pregnant,"Working with CBI, graduating, and being pregnant",fear
"I go running, and to my program",I got busted for being at the wrong place at the wrong time,Job,,,No other group,MS,mara somos,mara somos,fear
GRYD program,Break-up,Church,Dance,GRYD program,GRYD friends program,No group,,,joy
,Sister was killed,,,,No other group,Group,Having mentors,Going to school,fear
GRYD program,On probation,School friends,,,GRYD,No group,,,neutral
CB Inc,A loved one got shot,"CBI, SNL job",CBI,CBI,Other group,No group,,,joy
,I was being bullied in high school,,,,No other group,No group,,,fear
,Lost custody of her children,,,Friends,Friends,No group,,,sadness
GRYD workshops,Break up &  parents fight,School friends,,GRYD team,GRYD team,No group,,,joy
GRYD FCM program participation,Family issues,,,,No other group,Homies,No,No,neutral
GRYD FCM program participation,Lack of housing,Friends in the community,Started a soccer team,Community friendsq,Community friends,Homies,My got shot and killed [sic],Trying to have a sucessful [sic] life,neutral
GRYD program/Hopic group,Lose [sic] of friendships,GRYD program,,GRYD program,GRYD program VOA,No group,,,sadness
,Spending a few days in jail,,,Friends,Friends,No group,,,joy
GRYD program,Friend was recently killed,,,,No other group,AA group,I met my real mother for the first time in person. She has been in jail for the last 17 years. So I went to Mississippi to see her just to find out she has cancer and is dying.,No,fear
Client works out in the gym,Client lost brother through gang violence,Client attend program,Client attends workshops,yes VOALA,Volunteers of America (GRYD),No group,,,fear
Client comes to the gym and plays basketball as well. Plays games,Client still thinks about his father that passed on,Client comes to program to play games,Client completes workshops,VOALA (GRYD),Volunteers of America (GRYD),No group,,,neutral
GRYD program,Had to take care of a warrent,,,,No other group,No group,,,neutral
,Family death,School friends,,Group,Group,No group,,,sadness
Volunteer work at cypress park,"Sister is using drugs heavily. Brother was arrested, will do about 10-15 years.",,,,No other group,No group,,,fear
,Got shot at,,,,No other group,Group,No,No,neutral
Football,Arrested for something he did not do,,,,No other group,No group,,,neutral
Basketball,Children's court,Job,,Work friends,Work friends,Brown,"Went to court for daughter, may lose custody due to ties with group","Yes, daughter",neutral
GRYD case management services,Threat of homelessness,,,,No other group,No group,,,fear
working with CM,becoming homeless,,,,No other group,No group,,,fear
FCM GRYD Services,relationship issue,,,,No other group,No group,,,joy
Client goes swimming at the park,Client stated that she got in lots of fights in school,Client stated she hangs with kids from school,Client comes to program VOALA,(GRYD) program,Volunteers of America (GRYD),No group,Client stated that there's nothing that's happened in the past 6 months,"Client stated that she's doing well and is no longer on probation, and don't want to hang out with group",anger
Reading,My brother started using crack and is locked up now,School friends,,,School friends,No group,,,anger
,Boyfriend in prison. Don't know for how long.,,,The Girls,The Girls,The girls,"Loss of help from boyfriend, because he's in prison and now have to get a job.",,fear
Basketball,Mother is sick,,,,No other group,No group,,,fear
Church,Broke up boyfriend,School friends,,,School friends,Homies,Nothing has happened that is pushing me away from the group,Trying to get a job,sadness
,Just probation,,,,No other group,Friends,Yes. being on probation,No,neutral
"rest, read, listen to music",blacked out under influence,,,,No other group,Friends,they began to say rumors about me,I began to reflect on myself more,neutral
,Getting kicked out from home,School friends,,,School friends,No group,,,fear
Gym/basketball,Father passed away from cancer,School,,Friends,School friends,Group,Nothing,Nothing,neutral
,Living situation,,,,No other group,No group,"Yes, helping boyfriend stay out of trouble","Yes, focusing on kids",neutral
"Life skills, and counseling",When I was arrested,,,,Helper Foundation,Homies,I was arrested and went to juvenile hall,"I don't ever want to go back to camp, so I'm going to do everything right",fear
Job search,Bad car accident and lost job,,,,No other group,No group,,,fear
"Complimenting myself, reading",When my grandma passed,School friends,,Home girls,School friends,No group,,,sadness
"Church, helper program",Caught a new burgulary,church,,Helper Foundation,Helper Foundation,Homies,going to jail,Enrolling helper and cousins tha are girls,neutral
A.A. Classes,brother died and domstic violence,AA meetings,school,AA meeting,AA meeting,Homies,they kicked me out of park and I can no longer go to the park,I am pregnant and I stopped using drugs as well,sadness
,Financially,Job,Friends from GRYD,,Friends,Best,Spending night in jail and having open court case,Nothing,neutral
Counseling,"Got arrested, on probation",,,,No other group,No name,Getting arrested and being on probation,Being on probation and doing counseling,fear
,Hospitalized,,,,No other group,Group,Kidney failure,Taking a lot of medication,sadness
,Being low on credits,,,,No other group,Homies,No,Moved into a new neighborhood,fear
,short amount of time to move into her current apt,,,,No other group,Homies,breaking up with my boyfriend,focusing on my baby,neutral
Assisting/providing food for the homeless,Client was shot at outside a bar,Biking friends,Bike riding,,Biking friends,No group,,,fear
"bike ride, site-seeing",pending court case,,,,No other group,Homies,no not really,just court case,fear
GRYD workshops,got kicked out of school,school church / friends,GRYD,,GRYD,Homies,,,joy
getting ework readiness documentation for employment,Brother was killed,,,,No other group,No group,,,fear
"Had VoA staff help look for job leads, housing and trade","being homeless, not having a place to stay",VOAIA,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,,,sadness
,Friend was killed,,,,No other group,CS,Friend was killed,No,sadness
,Ex-girlfriend; on and off relationship,,,,No other group,Friends,Friend got shot,Going to jail for 7 months,sadness
,DCFS,,,,No other group,Bay view,DCFS,No,neutral
,Eviction,,,,GRYD,No name,"No, nothing has pushed me away. Everything is great",No I'm trying to be more mature now,fear
work at the park parttime,had a big fight with my mom,school friendds,,school friends,school friends,No group,,,joy
client likes to work out at gym with mother,me and mom used to fight a lot it's been way better,,activities in VoA program,GRYD field trip,Volunteers of America (GRYD),No group,,,neutral
Working out/swimming,Brother raped me,Mentor group,Teen club,Above groups,Mentor/Group,Group,Nothing,Nothing,anger
,Being raped,,,,No other group,Homies,Not wanting to get shot like my other friends,Focusing on my family,fear
,Being low on credits,,,,No other group,Homies,No,I'm focusing more on school,fear
Cathechism,Hard time at school with academics,,,,No other group,Homies,Dad's friend ended up getting shot and died,Hanging out with other friends,joy
,Open DCFS case for son,,,,No other group,Homies,"I saw there's no life in hanging out with them, and having son while [illegible] bieng killed is not good","Focusing on school, having a child and being in a relationship with someone who wants me to do better",neutral
GRYD program,My dog passing away,,,,No other group,Los Pendejos,All of them are in jail,No,sadness
Reading,Kicked out of school,School friends,,Regular friends,School friends,Group,No,No,fear
I enjoy cleaning - it relaxes me,broke up with children's dad and loss of someone,,,,No other group,Friends,no,no,sadness
Work out/pray,Work,,,,No other group,No group,,,neutral
,Babysitting before going back to school,,,,No other group,Friends,No,"Yes, baby and school",joy
Working out,Parents divorced,,,,No other group,No group,,,sadness
,Relationship and friends,School friends,,,School friends,No group,No,No,joy
"Domestic violence, parenting, AA, Anger Management","Work, children, and depression",,,,No other group,Friends,No,"Yes, working and required classes",sadness
"Work with Mom sometimes, CBI","Experienced a friend's death. She need a job, got to get work permit from school",School,CBI,CBI,Other group,No group,,,sadness
"Job search, child care",Son's father incarcerated,Job,,,No other group,No group,,,neutral
,Family situations,,,,No other group,Friends,"Yes, staying out of trouble","Yes, working and going back to school",neutral
"Read, listen to music, hang out with friends",Was depressed,,,,No other group,Friends,No,No,sadness
,Moving on after high school,,,,No other group,Friends,No,No,joy
GRYD Program (Workshops),Shot and lack of housing for most of the year,,,,No other group,AA Group,I was shot in the leg and almost died,No; maybe getting shot,fear
"Reading, writing, and learning",Lost my job,,,,No name,No group,,,sadness
"Walk the dog, listen to music, spa",Family problems,,,,No other group,Friends,"Yes, my brother just went to jail",No,sadness
,My father he needs to be there more,,,,No other group,Slauson Boys,No,No,neutral
,I am leaving with my grandma but my parents I don't understand,,,,No other group,Crenshaw,Not sure,No,neutral
,I have to take parenting classes,,,,No other group,No group,,,neutral
,Injured at work,,,,No other group,Homies,Rumors against my family,Having a girlfriend,fear
,My famliy member has cancer,,,,No other group,Fellas,My aunt was diagnose with cancer. My mom's only sister.,I want to graduate from high school for the past 6 months I've been messing up in school.,sadness
Life skills/workshop,Father died. Overdosed.,,GRYD,,GRYD Friends,No group,,,sadness
Bike ridding,Got hit by a car,,,,No other group,No group,,,fear
"Gym, football, smoke weed.",Things with mother,,,,No other group,Homies,No,No,neutral
"Face mask, toes, make up",Arguing with girlfriend,,,,No other group,Second Family,"Yes, being in a relationship.","Yes, moving.",joy
,My dad needs to be in my life,,Football,,Football,4th Ave Boys,No,No,joy
School at Weber Center-job training,Fight court case,,,,No other group,B Group,My friends and Homeboy Darky will shoot and I was put in jail for something I did not do.,Stated going to counseling and spending time with positive people.,fear
Client loves yoga,Me and mom use to fight a lot. It has been much better,,Client attends activities in VOALA program,Client attends firld trip (GRYD),Volunteers of America (GRYD),No group,,,neutral
"Drawing, write books",Became homeless,School friends,Women's empowerment,,Women's empowerment,No group,,,sadness
Previously but not at this time.,Situation with recent community member.,,,Skating friends,Skating Friends,Friends,"Yes, issue with other community member.","Yes, working and school.",fear
Client go's for walk with child,Client stated a close friend got shot at,(GRYD) and family,Volunteers of America (GRYD),VOA activities workshops,Volunteers of America (GRYD),No group,,,sadness
"Smoking, bike riding, view.",When his father passed away,,,,No other group,Friends,No,Nothing,sadness
SEA GRYD,School work,School friends,,SEA GRYD,Friends,No group,,,joy
,Family hardships,,,,No other group,No group,,,sadness
Clien plays football with friends,Client stated his homie from GROUP got shot at.,Hangs with coworkers,Play's football iwht friends,VOALA GRYD,Volunteers of America (GRYD),No group,,,fear
Client hangs out at the park with his friends and plays football,Client stated he seen his friend get shot,Client hangs with his friends,Client comes to workshops,(GRYD),Volunteers of America (GRYD),No group,,,fear
,Open court case,,,,No other group,Group,Friend got shot,None,neutral
,Life is stressful,,,,No other group,My brothers,2 friends got send to jail,Nothing,fear
,Girlfriend got in an accident,,,HC Park,Park,3rd,My girlfriend was hurt bad in an accident,No,neutral
Work out,Injured at work,,,,No other group,Group,,,fear
,Grandmother died,School friends,,,School friends,No group,,,sadness
GRYD,Conflict with family,,,,No other group,Friends,No,Yes. School and jobs,fear
Listening to music,I lost my mom,,,,No other group,Homies,Nothing,Focusing on my girlfriend and kids,sadness
,Borhter bein arrested.,,,,No other group,Friends,"Yeah, brother in jail.",The baby.,neutral
,Mom left me,,,,No other group,No group,,,sadness
"Preparing resume, applying to jobs",Saw officer that was involved in family shooting,,,,GRYD program,204th,"Seeing negative consequences (jail, loss of employment, etc) of others",Raising family (2 girls). Wanting a better future for self and daughters,neutral
GRYD program,Moved back South LA,,,,No other group,Homies,I need to recover from being stabbed,No,neutral
"boxing, hiking, excercise",Family issues,,,,No other group,Friends,No,No,neutral
"YES, program",Issues with parents and school,,,,No other group,Friends,No,No,joy
Client stated he's playing in a soccer team,Client stated friend got blasted at,,Client plays soccer,(GRYD),Volunteers of America (GRYD),ATC,Client stated his best friend got blasted at and killed,Client got a job and is trying to stay focused,anger
Reading,Friend shot,,,,No other group,VEE,No,No,joy
,Yes car was taken away impound,,,,No other group,Friends,No,No,neutral
None,Parole case,,,,No other group,Friends,Nothing,Baby on the way,neutral
,Friend was killed,,,,No other group,No group,,,sadness
,My father past away,,,,No other group,Homies,having my son has made me think different now,My son is what makes me want ot stop hanging around with my friends,neutral
Exercise/run,Got into fight,,,,No other group,Group,,,fear
Working out/dancing,Parents argue,,,,No other group,No group,,,neutral
,Dad got locked up,,,,No other group,Homies,Lack of trust with the homies,Having a girlfriend and my mom being more involved in my life,neutral
Client stated she goes to work out at the gym,Client stated her children's father has anger issues.,GRYD program,,,Volunteers of America (GRYD),No group,,,anger
working out,Got shot,Work,,,Work,Bee,No,No,neutral
Helper Foundation,homeless,,,Helper,Helper Foundation,No group,,,fear
"Homework, GRYD",Homeboy was killed,,,,No other group,B Group,Homeboy was killed at his house in the yard,Working 2 jobs and going to school. Trying to live the homeboy dream since he can't,fear
Basketball,Got shot at,Friends from work,,Friends,Friends,No group,,,neutral
Exercise and fitness training,I have recently had anxiety attacks that have caused hospitalization,,,,No other group,No group,,,fear
,mother tried to drown sister,,,,No other group,Homies,my older brother was deported,a friend got killed,sadness
life skills and counselling,I went to adult jail for one night,co worker,,group sessions,Helper Foundation,Holines,"I spent the night in adult jail first time, man","I got a fulltime training job at a dental clinic, I even wore a lab coat. Now I only work one day, though.",neutral
"Parenting class, domestic violence class",DCFS case,,,Support group,Support group,No group,,,neutral
SEA GRYD,"School work, senior dues",School friends,,,School friends,No group,,,neutral
Sports,Parent seperated badly,,Souftball,BTBTS,BTBTS,The grils crew,Nope,Nothing so far,fear
Church services,Problems with friends,"School friends, gym friends, and church","Basketball, running, boxing",Neighborhood friends or just friends,Boxing friends,No group,Staying away from it in general,"Got a job, school, and more or less trying to better himself",fear
,Father died,,,Friends,Friends,No group,,,sadness
Go to church,My brother's killer got scentenced to life.,Church,,BTBTS,Church,Chicos,"Nope, nothing",Just sometimes my brothers death,joy
Job readiness/search,Became homeless,School friends,,School friends,School friends,Homies,Homies snitching on each other,"The pull aways from homies due to school, job, and son",sadness
,Mother pass away,School friends,,,School friends,Homegirls,My uncle got release from jail and his on me,I want to graduated and get a good job,neutral
Art work,Grandma's sister passed away.,,,,No other group,No group,,,neutral
,Mother was carcerate,,,,No other group,Homies,My mother went to jail,My brother got 25 to life in prison,neutral
,Guard job,,,,No other group,No group,,,neutral
,Finding work and moving out of Grandma's house,,,,No other group,No group,,,joy
Client hangs out at the park with his friends and plays basketball and goes to the gym.,Me and my girlfriend broke up,,,,Varrio,Homeboys,No,,sadness
"Draw, church, makeup",had to leave my current house,,,,No other group,Friends,sexual harrassment,graduation,sadness
GRYD workshops,Got jumped,,,,GRYD kids,No group,,,neutral
Basketball,"Break up, Losing job",School friends,,Friends,Friends,No group,,,joy
"Reading, working, art",My friend got shot 5 time,kids at school,,School mate,No other group,No group,,,sadness
,Mother walked out on family,,,,No other group,Crew,Two friends were shot one died,No,neutral
,a friend got shot in front of me,,,,No other group,Homies,I was incarcerated and sent to prison,since my release from prison I just want to go to school and get a good job,fear
,Custody for child,,,,No other group,No group,,,neutral
,school,,,,No other group,Friends,nothing happen,nothing happen,neutral
Anger management GRYD,Baby was taken away DPSS,,,,No other group,Six Group,No nothing like that,Had my son. I started having someone else to live for,neutral
,My father left me.,,,,No other group,Homies,I been busted too long dont want to get busted no more.,I miss my mom not spending time with her kills me.,sadness
Job search,Lost 2 uncles over summer,,,,No other group,No group,,,sadness
Basketball,My friend die,Basketball,Basketball,Basketball,Basketball,Hoovers,I think it is stupid to be in a gang,My friends start dying,sadness
