S6b_Other_Activities,,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion,S11a_Comments
,,,,,No other group,Group,,,fear,Got fired from a job
,,,,,No other group,No group,No. Nothing has happened to push me away from my group.,Becoming employed has taken a lot of my time.,fear,Got hit by a car
,,,,,No other group,No group,,,neutral,client did not want to spear about it
Studio with GRYD,,Project kids,,,Project kids,School friends,No,Moving,neutral,Moving neighborhood
After school program,,After school program,,,Group,Group,Got on 3rd probation,Girlfriend,fear,Got probation
Going to events and activities at my program,,,Volunteers of America (GRYD),,GRYD,No group,,,fear,My mom was hurt by my dad.
,,School friends,,,No other group,No group,,,sadness,My grandfather passed away
Work out,,,,,No other group,Group,No,No,fear,Multiple people died
"Reading, working out",,,,,No other group,Group,No,Nothing,sadness,A lot of people in my family died
"Life skills, one on one counseling, therapy",,,,Life skills,HELPER Foundation,Homies,"I was forced to be away, I was locked up, had to stay away, I guess.","In camp I did good in school, I have to finish only history. I want to study business and open a bar.",neutral,I was detained in camp.
Apartment search,,Job friends,CBInc,CBInc,CBInc,Group,,,joy,Working on getting hours changed. Job search.
,,,,,No other group,Homies,I do not want to be locked up,Nope,sadness,Death of family member
Outings with VOALA and basketball at the GRYD program,,School friends and GRYD friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),Play Boys,Nope,Nope,fear,I was facing jail time.
,,,,,No other group,Homies,No,No,sadness,Not being able to get a job
Workout,,,,,No other group,No name,Friend was killed,Going to school,sadness,My friend was killed
,,,,,No other group,No group,,,fear,Homie killed
Exercising/walking,,,,,No other group,Group,Cousin was killed,Attending school,neutral,School is closing
Go to my program and do parenting,,,GRYD,,GRYD,No group,,,sadness,My baby dad has domestic issues
,,,,,Group,Group,My daughter's father was killed in 2009 and I have never been the same. Then on the same day 2 years later I got sick with lupus and kidney failure.,Had my daughter,sadness,Having kidney failure
,,,,,No other group,My Boys,I'm good,,sadness,Messing up in school
,,,,,No other group,Group,No,No,neutral,Got jumped
"Football, Church, Volunteer",,Church,Football,Chapter Two Inc,Football,No group,,,fear,Witness my friend being shot and murdered
,,,,,No other group,Homies,No,No,fear,Homeless
"Football, Volunteer, Church",,Church,Football,,Football,No group,,,fear,Friend was shot and killed
"Football, Church, Volunteer",,Church/school,Football,,Football,No group,,,fear,Witness a friend get shot and killed
"Volunteer, football, Church",,Church/school,Football,Friends in Hood,Football,No group,,,fear,Friend was shot and killed
"Football, Church, Volunteer",,Church/school,Football,,Football,No group,,,fear,Friend was killed by rival neighborhood
"Football, Church, Volunteer",,Church/Park Rec,Football,Chapter Two Inc,Football,No group,,,sadness,Friend was killed
,,,,,No other group,Group,A lot of friends going to jail,School,sadness,Friend died
"Church, Volunteer, Football",,Church,Football,,Football,No group,,,sadness,Friend was shot but did not die
"Football, Volunteer, Church",,Church,Football,Chapter Two Inc,Football,No group,,,fear,Best friend was shot and killed
"Reading, Church, Volunteer",,Schools,Football,Chapter Two Inc,Football,No group,,,fear,Friend was jump and murdered
"Volunteer, Church",,24 Fitness,Football,Chapter Two Inc,Football,No group,,,sadness,Friend was killed
"Football, Church, Volunteer",,Church,Football,Chapter Two Inc,Football,No group,,,sadness,Friend was killed
Comes to the teen club,,School and Basketball Teammates,Tenn Club/ Basketball team at school,"CBI, Teen Club, Basketball","CBI. Teen Club., Basketball at school",No group,,,neutral,He is stressed. Client wants to work
Sports,,VOALA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,fear,Got arrested
,,,,,No other group,Friends,No,No,neutral,Not sustaining a job
I go to my program GRYD.,,School basketball team,,GRYD,Volunteers of America (GRYD),No group,,,fear,We were evicted from our home.
I go to my program for different activities and I workout,,School,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness,My family does not accept my baby because he is active
Fishing,,School,,,School,The Crips,"Being tired of getting in trouble, a desire to change",,sadness,Seeing my father sick
Therapy. music class,,,,Homeboy Industries,Homeboy Industry,Homies,"No, nothing",Having a job and housing program,fear,Cousin was killed
Working out,,,Firefighter training,,Firefighter training,No group,,,sadness,Friend was killed
,,,,,No other group,Group,No,No,fear,Homie was killed in the park
"Soccer, boxing, volleyball, leadership and student body council",,His main friends from school and training activities. Sports/leadership,"Soccer, boxing, volleyball, leadership and student council","His acquaintances, people he knows",A1: School/training activities (TAs),Fake Asses,Group has started instigating problems and giving client false information. Client moved away from group and they resent client for it.,"Opportunities have opened like: getting a job at Wells Fargo, college, tuition, scholarships, chance to leave LA to San Francisco.",fear,Mom left last year. Cousin got shot and killed.
Workout,,,,,No other group,No group,,,neutral,Parents had a big fight
,,,,,No other group,Group,No,No,sadness,Parents divorced
Working out,,,,,No other group,Group,Being homeless,,sadness,Became homeless
"Counseling, life skills",,,,Life skills,Helper Foundation,Homies,"My mom died last year, it is crazy. I was all messed up. It made me feel mad. It is better now.","Going to independent study is better for me. I felt like I could catch up at Venice High. My mom died, I missed school. It was all messed up, now I am catching up",sadness,My mother passed away
,,,,,No other group,Friends,No,No,neutral,School
,,School friends,,School friends,School friends,Homegirls,Myself I do not know why I just do not like people or being around people like that. I just go through a lot that I do not talk about.,Depression and stress,neutral,Everything a lot
Cosmetology volunteer,,school friend,,,Chapter 2,The homegirls / homies,No nothing has happened in the last 6 months,Yes my cousin had a baby and now we dont hang much - STRESS! A lot of stress 24/7/365,neutral,"Everything, just too much"
Playing sports and video games,,,,,No other group,No group,,,anger,I had a fight and I lost
"Think about my life, talk to my school friends",,School friends,New skillz on the block/GRYD,Park friends,Park friends,Friends in the neighborhood,Seeing my friend in the hospital hurt and seeing his mom sad,I started going to school and hanging out in new spots in my block,sadness,Seeing my family sad
Working out,,,,,No other group,Group,No,To get a job. The need for money.,sadness,Best friend was killed
Playing basketball and reading books,,,,,No other group,No group,,,sadness,I lost a fight
"Daily walking, working out to lose weight",,,,,No other group,No group,,,sadness,My daughter got taken away. DCFS.
,,,,,No other group,No group,,,fear,"My mom is out on the streets ""homeless"""
,,,,,No other group,Friends,No,No,sadness,Family issues
,,GRYD clients,,,No other group,No group,,,joy,Moving to a different neighborhood
Employment search,,,,,No other group,Group,Sister was killed,,fear,My younger sister was killed
,,,,,No other group,Homies,Being shot at,Trying to better myself for my own good and my son's life to try to become someone,joy,Being a young dad
,,,,,No other group,Lil,Saw a dead body at a party on New Years,Working with [mentor name] as my mentor,fear,Seen a dead body
,,School friends,Soccer team,Friends outside of school,School friends,No group,,,neutral,Mom went through break up with bf.
I go to my program (GRYD).,,,GRYD,GRYD,GRYD,No group,,,joy,Me and my mom fight a lot.
Participates in GRYD program,,School friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,fear,Mother got killed by (LAPD). Lawsuit was filed. Very stressful.
,,Work,,Neighborhood friends,Neighborhood friends,No group,,,fear,Being away from wife and children
,,,,,No other group,Group,No,No,fear,Living in jail
,,School,,,School,No group,,,sadness,Maternal uncle was assasinated in Mexico
,,,,,No other group,Homies,More and more homies are dying,I want to finish with high school,fear,My father being deported
,,School,,,School,No group,,,fear,Maternal uncle got killed in Mexico
I go to my GRYD program,,,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,anger,I had a big fight with my mother's boyfriend
Life skills classes,,"Friends, L.I.F.E",L.I.F.E,,SEA,Friends,No,Yes. I became distant with friends due to their childish ways,sadness,Job loss
Reading. hobbbies. yoga,,,,,No other group,No group,,,sadness,I get a bad grade in school. Knew I could have done better
"Going to the library, going to the park meditation",,,,,No other group,No group,,,fear,Mom go mad made me clean up
,,School friends,,,School friends,No group,,,joy,Got into a fight
Teaching myself how to draw,,,,GRYD clients,No other group,Homies,People dying and going to jail is the norm around here. I don't want to be part of that norm.,My parents are getting old. I want to make them proud of me. I need to graduate.,neutral,I got jumped walking home from school
Life[illeg]/Faith based [illeg],,"School, L.I.F.E","Acting Club, photography club",Friends in L.I.F.E,SEA,No group,"""Yes"" [illeg] that chills with my homies",Yes. Since I am busy with S.E.A. I do not kick with them after school,sadness,Father death
"Gym, working out",,,,,Varrio,Homeboys,No,No,sadness,Me and my girlfriend broke up
,,School friends,,,School friends,No group,,,joy,Got into a fight
"""does not do self-improvement activities""",,School friends,,Friends,No other group,No group,,,fear,"""none of these things happened in the last 6 months"""
,,Church,,School,School,No group,,,fear,Being shot
Community service,,School friends,,,School friends,No group,,,neutral,School
,,,,,No other group,Homies,"Homies sent to jail, homies have been killed",Paying more attention to my family,fear,Losing job
,,,,,No other group,Homies,No nothing has really happened,I guess being in a relationship with my boyfriend,sadness,Parents breakup
,,,,,No other group,Homies,I got into a fight with family members - they got hurt - I went to jail and lost my job - housing has also been a big problem for me,My girlfrend has a baby that I'm responsible for and she is pregnant with my baby,sadness,I'm having a hard time with housing
Sports/volunteer work,,School,,Friends,Friends,No group,,,fear,Problems at home
Community events,,Friends From the GRYD program,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,joy,During my pregnancy my Father wasn't supportive
,,,,,No other group,Homies,Family getting killed and shot at.,Having a daughter,fear,Broke my hand
,,School friends,,Friends,School Friends,No group,,,sadness,"Stress, with family & break up"
"Go hiking, go to my program job, in the evening.",,School,,VOALA,Volunteers of America (GRYD),No group,,,sadness,"Got in trouble in school, got more community service hours."
Church,,Church,Theology class,Sat & Tues,Church,Homies,Due to fights,Being pregnant & going to church,neutral,Father passed away due to health
,,,,,No other group,Homies,"Not in the last 6 months, but I have been working on change before that.","Finance, School, Work.",fear,Mom passed away 6 months
Client loves yoga,,,Client attends activities in VOALA program,Client attends field trip (GRYD),Volunteers of America (GRYD),No group,,,joy,"Me and mom used to fight a lot, it's been better"
Attending church,,Church,,,No other group,No group,,,sadness,Homelessness
,,,,Church,Church,Hood,"Yes, my parent kicked me out they found about may [sic] gang ties",Going to church,sadness,Got into it with my family; now kick [sic] out of house
,,School friends,,,School Friends,No group,,,neutral,My dad moved to New York
Church,,Church,Becoming a member,Church,Church,Homies,My cousin got shot by my own Homie/hood,"Started going church, work, Juv Hall",sadness,Grandmother is sick
,,,,,No other group,Homies,,,sadness,Lost custody of son
,,school,,neighbors,school,No group,,,sadness,Father dying
Coaching Soccer Team,,School,Soccer team,Soccer Players,Soccer Team,No group,,,fear,"Graduation, Trying to make it this year."
,,,Soccer team,,Soccer Team,No group,,,sadness,Father moved to New York
Substance Abuse & Anger Management workshops,,GRYD Friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,"Something that pushed me away was running aware from home, being in an abusive relationship and being in jail",No nothing have happened,sadness,Being in an abusive relationship and being in jail
,,,,,No other group,Homies,Graduating high school soon,,fear,Parents leaving to mexico
,,,,,No other group,Homies,Them being smoked out all the time,Focusing on my health,fear,Being homeless
Church service,,church group,,,Church group,Homies,Graduating school,Church,joy,Kicked out of home
I go to my VOALA program,,school,,,GRYD,No group,,,fear,Kicked out of school
,,,,,GRYD,Gee's,Dad went to hospital and almost died,Getting LA hire job in June,sadness,Dad went to hospital and almost died
,,,,[case manager name],[case manager name],No group,,,joy,Mom kicked me out now I move with baby daddy we ain't getting along I have a new baby
,,,,,No other group,Denk,Got jumped twice,No,neutral,Got jumped twice
Playing basketball,,,,,No other group,No group,,,sadness,Was hurt by an uncle
"I go to my program, and to activities",,"Work, and gyn",,Skateboarding,GRYD,No group,,,fear,At school I be getting hit up
Christian church,,Church friends,Helping with church,,No name,Group,Client's family doesn't want to see him.,School and getting a job.,joy,Got kicked out of school
Church activities,,Good friends,Football team,,Football team,No group,,,fear,Being homeless
Job readiness,,,,,No other group,No group,,,fear,Got beat up bad.
,,School friends,,,School friends,No group,,,fear,Being homeless
,,,,Lowriding,Lowriders,16th Street,Family blame on brother's death,No,sadness,Family blames on brother death
Clients meets with CIW for mentoring,,Coworkers,CBInc,CBInc,CBInc,Group,,,neutral,Want a better job
Didn't share,,,,,No other group,No group,,,neutral,Decline to state what happened
GRYD,,Rainbow,Rainbow,Rainbow,Rainbow,Winter,DCFS,Filled child custody,neutral,DCFS was called
Reading and exercising,,,,,No other group,No group,,,sadness,Child was taken by DCFS
"Sports, music",,Basketball friends,,,basketball friends,Friends from school,"Yes, my grandmother passing away",Just wanting to do good after my grandmother died,fear,My grandma passing away
GRYD,,Work Guys,,,Work Guys,Dubs,Best friend was killed,Got full time job to get own apartment,sadness,Best friend was killed
,,school friends,,[mentor name],Mentor,No group,,,sadness,Losing my child's father
,,,,,No other group,Group,No,No,joy,Family getting jumped
,,,,,No other group,No group,,,sadness,kids got taken away by DCFS
,,,,,No other group,Group,No,Changing school,sadness,My brother got jumped
I go to my program as much as I can,,,GRYD,,Volunteers of America (GRYD),No group,,,fear,I was arrested for acquisition at school
GRYD program,,,,,No other group,My friends,No,No,sadness,Close friend passed away
Workout,,,,,No other group,Group,A lot of my friends were killed,Working,sadness,Friend went to prison
,,,,,No other group,Group,My first born son has given me a different outlook on life.,Having a child,neutral,Trying to obtain a reasonable pay wage
,,,,,No other group,Group,,,sadness,Close friend went to prison
Art work,,,,,No other group,No group,,,sadness,Grandma sister passed away
,,,,,No other group,Dub,Went to jail for gun,No,fear,Went to jail for a gun
,,SEA,,SEA,SEA,No group,,,sadness,lost all rights to see son
"CBI, teen club, community basketball",,School/b ball team,teen club/b ball team,,No name,No group,,,joy,Can't wait till 16 so he can work
,,,,,No other group,Homies,2 of my homies getting blasted,My girl and trying to get a job,sadness,Low grades
,,,,,No other group,Girlz,DCFS still going,No,sadness,DCFS
Working out/power walking,,,,,No other group,Group,Cousin was killed,Trying to graduate high school,anger,Cell phone was stolent
Gym/run,,,,,No other group,Group,Nothing,Trying to finish school,joy,School closing
,,,,,No other group,Friends,no,"yes, school",neutral,school
,,Sports,Torrance,Sports,Pirates,Dodge,Grandmother got very sick,No,sadness,Grandmother got very sick
,,,,,No other group,Homies,Homies getting locked up,Having a boyfriend,neutral,Not having a job
,,,,,No other group,No group,,,anger,Got sucker punched
,,,,,No other group,No group,,,anger,Got jumped
YES program,,,,other friends,other friends,Friends,my addiction has pushed me away,"stay sober, daugher, job",neutral,addiction
GRYD/Hopics,,,,GRYD,No other group,No group,,,sadness,DV case/conflicted relationship with kids' father
,,Soccer team,,,Soccer team,No group,,,fear,Broke ankle
Clean room in house,,,,,No other group,Mahar,"Because of probation, the fight that opened my eyes at school",Having a baby (possible),sadness,"Might be a dad, being on probation"
,,School friends,,,School friends,No group,,,fear,Medical scare. Loss of a friend
YES program,,,,,No other group,Friends,No,No,neutral,Famliy and friends
,,,,,No other group,Friends,No,No,sadness,School and losing of friend
Community service,,,,,,Homies,No,Working,neutral,Getting more tickets
GRYD program,,Job friend,,GRYD,No other group,No group,,,fear,Lose [sic] of baby
Volunteer at library,,,,,No other group,Homies,Got detained doing a beer run and got fined for doing. I didnt do,Focusing on school and finding work,neutral,Family issues and moving out of town.
I go to my anger management program,,School friends,,VOALA,Volunteers of America (GRYD),No group,,,sadness,I had a bad fight with my best friend
"School, CBI, bake sales",,"School, CBI","Community teen club/former, CBI",CBI,Other group,Group,Working with CBI and pregnant,"Working with CBI, graduating, and being pregnant",fear,Not trying to be homeless
"I go running, and to my program",,Job,,,No other group,MS,mara somos,mara somos,fear,I got busted for being at the wrong place at the wrong time
GRYD program,,Church,Dance,GRYD program,GRYD friends program,No group,,,joy,Break-up
,,,,,No other group,Group,Having mentors,Going to school,fear,Sister was killed
GRYD program,,School friends,,,GRYD,No group,,,neutral,On probation
CB Inc,,"CBI, SNL job",CBI,CBI,Other group,No group,,,joy,A loved one got shot
,,,,,No other group,No group,,,fear,I was being bullied in high school
,,,,Friends,Friends,No group,,,sadness,Lost custody of her children
GRYD workshops,,School friends,,GRYD team,GRYD team,No group,,,joy,Break up &  parents fight
GRYD FCM program participation,,,,,No other group,Homies,No,No,neutral,Family issues
GRYD FCM program participation,,Friends in the community,Started a soccer team,Community friendsq,Community friends,Homies,My got shot and killed [sic],Trying to have a sucessful [sic] life,sadness,Lack of housing
GRYD program/Hopic group,,GRYD program,,GRYD program,GRYD program VOA,No group,,,sadness,Lose [sic] of friendships
,,,,Friends,Friends,No group,,,joy,Spending a few days in jail
GRYD program,,,,,No other group,AA group,I met my real mother for the first time in person. She has been in jail for the last 17 years. So I went to Mississippi to see her just to find out she has cancer and is dying.,No,fear,Friend was recently killed
Client works out in the gym,,Client attend program,Client attends workshops,yes VOALA,Volunteers of America (GRYD),No group,,,fear,Client lost brother through gang violence
Client comes to the gym and plays basketball as well. Plays games,,Client comes to program to play games,Client completes workshops,VOALA (GRYD),Volunteers of America (GRYD),No group,,,sadness,Client still thinks about his father that passed on
GRYD program,,,,,No other group,No group,,,neutral,Had to take care of a warrent
,,School friends,,Group,Group,No group,,,sadness,Family death
Volunteer work at cypress park,,,,,No other group,No group,,,fear,"Sister is using drugs heavily. Brother was arrested, will do about 10-15 years."
,,,,,No other group,Group,No,No,fear,Got shot at
Football,,,,,No other group,No group,,,anger,Arrested for something he did not do
Basketball,,Job,,Work friends,Work friends,Brown,"Went to court for daughter, may lose custody due to ties with group","Yes, daughter",neutral,Children's court
GRYD case management services,,,,,No other group,No group,,,fear,Threat of homelessness
working with CM,,,,,No other group,No group,,,fear,becoming homeless
FCM GRYD Services,,,,,No other group,No group,,,joy,relationship issue
Client goes swimming at the park,,Client stated she hangs with kids from school,Client comes to program VOALA,(GRYD) program,Volunteers of America (GRYD),No group,Client stated that there's nothing that's happened in the past 6 months,"Client stated that she's doing well and is no longer on probation, and don't want to hang out with group",anger,Client stated that she got in lots of fights in school
Reading,,School friends,,,School friends,No group,,,anger,My brother started using crack and is locked up now
,,,,The Girls,The Girls,The girls,"Loss of help from boyfriend, because he's in prison and now have to get a job.",,fear,Boyfriend in prison. Don't know for how long.
Basketball,,,,,No other group,No group,,,fear,Mother is sick
Church,,School friends,,,School friends,Homies,Nothing has happened that is pushing me away from the group,Trying to get a job,sadness,Broke up boyfriend
,,,,,No other group,Friends,Yes. being on probation,No,neutral,Just probation
"rest, read, listen to music",,,,,No other group,Friends,they began to say rumors about me,I began to reflect on myself more,neutral,blacked out under influence
,,School friends,,,School friends,No group,,,fear,Getting kicked out from home
Gym/basketball,,School,,Friends,School friends,Group,Nothing,Nothing,sadness,Father passed away from cancer
,,,,,No other group,No group,"Yes, helping boyfriend stay out of trouble","Yes, focusing on kids",neutral,Living situation
"Life skills, and counseling",,,,,Helper Foundation,Homies,I was arrested and went to juvenile hall,"I don't ever want to go back to camp, so I'm going to do everything right",fear,When I was arrested
Job search,,,,,No other group,No group,,,fear,Bad car accident and lost job
"Complimenting myself, reading",,School friends,,Home girls,School friends,No group,,,sadness,When my grandma passed
"Church, helper program",,church,,Helper Foundation,Helper Foundation,Homies,going to jail,Enrolling helper and cousins tha are girls,anger,Caught a new burgulary
A.A. Classes,,AA meetings,school,AA meeting,AA meeting,Homies,they kicked me out of park and I can no longer go to the park,I am pregnant and I stopped using drugs as well,sadness,brother died and domstic violence
,,Job,Friends from GRYD,,Friends,Best,Spending night in jail and having open court case,Nothing,neutral,Financially
Counseling,,,,,No other group,No name,Getting arrested and being on probation,Being on probation and doing counseling,fear,"Got arrested, on probation"
,,,,,No other group,Group,Kidney failure,Taking a lot of medication,sadness,Hospitalized
,,,,,No other group,Homies,No,Moved into a new neighborhood,fear,Being low on credits
,,,,,No other group,Homies,breaking up with my boyfriend,focusing on my baby,neutral,short amount of time to move into her current apt
Assisting/providing food for the homeless,,Biking friends,Bike riding,,Biking friends,No group,,,fear,Client was shot at outside a bar
"bike ride, site-seeing",,,,,No other group,Homies,no not really,just court case,fear,pending court case
GRYD workshops,,school church / friends,GRYD,,GRYD,Homies,,,joy,got kicked out of school
getting ework readiness documentation for employment,,,,,No other group,No group,,,fear,Brother was killed
"Had VoA staff help look for job leads, housing and trade",,VOAIA,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,,,sadness,"being homeless, not having a place to stay"
,,,,,No other group,CS,Friend was killed,No,sadness,Friend was killed
,,,,,No other group,Friends,Friend got shot,Going to jail for 7 months,sadness,Ex-girlfriend; on and off relationship
,,,,,No other group,Bay view,DCFS,No,neutral,DCFS
,,,,,GRYD,No name,"No, nothing has pushed me away. Everything is great",No I'm trying to be more mature now,fear,Eviction
work at the park parttime,,school friendds,,school friends,school friends,No group,,,joy,had a big fight with my mom
client likes to work out at gym with mother,,,activities in VoA program,GRYD field trip,Volunteers of America (GRYD),No group,,,neutral,me and mom used to fight a lot it's been way better
Working out/swimming,,Mentor group,Teen club,Above groups,Mentor/Group,Group,Nothing,Nothing,anger,Brother raped me
,,,,,No other group,Homies,Not wanting to get shot like my other friends,Focusing on my family,fear,Being raped
,,,,,No other group,Homies,No,I'm focusing more on school,fear,Being low on credits
Cathechism,,,,,No other group,Homies,Dad's friend ended up getting shot and died,Hanging out with other friends,joy,Hard time at school with academics
,,,,,No other group,Homies,"I saw there's no life in hanging out with them, and having son while [illegible] bieng killed is not good","Focusing on school, having a child and being in a relationship with someone who wants me to do better",neutral,Open DCFS case for son
GRYD program,,,,,No other group,Los Pendejos,All of them are in jail,No,sadness,My dog passing away
Reading,,School friends,,Regular friends,School friends,Group,No,No,fear,Kicked out of school
I enjoy cleaning - it relaxes me,,,,,No other group,Friends,no,no,sadness,broke up with children's dad and loss of someone
Work out/pray,,,,,No other group,No group,,,neutral,Work
,,,,,No other group,Friends,No,"Yes, baby and school",joy,Babysitting before going back to school
Working out,,,,,No other group,No group,,,sadness,Parents divorced
,,School friends,,,School friends,No group,No,No,joy,Relationship and friends
"Domestic violence, parenting, AA, Anger Management",,,,,No other group,Friends,No,"Yes, working and required classes",sadness,"Work, children, and depression"
"Work with Mom sometimes, CBI",,School,CBI,CBI,Other group,No group,,,sadness,"Experienced a friend's death. She need a job, got to get work permit from school"
"Job search, child care",,Job,,,No other group,No group,,,sadness,Son's father incarcerated
,,,,,No other group,Friends,"Yes, staying out of trouble","Yes, working and going back to school",neutral,Family situations
"Read, listen to music, hang out with friends",,,,,No other group,Friends,No,No,sadness,Was depressed
,,,,,No other group,Friends,No,No,joy,Moving on after high school
GRYD Program (Workshops),,,,,No other group,AA Group,I was shot in the leg and almost died,No; maybe getting shot,fear,Shot and lack of housing for most of the year
"Reading, writing, and learning",,,,,No name,No group,,,sadness,Lost my job
"Walk the dog, listen to music, spa",,,,,No other group,Friends,"Yes, my brother just went to jail",No,sadness,Family problems
,,,,,No other group,Slauson Boys,No,No,neutral,My father he needs to be there more
,,,,,No other group,Crenshaw,Not sure,No,neutral,I am leaving with my grandma but my parents I don't understand
,,,,,No other group,No group,,,neutral,I have to take parenting classes
,,,,,No other group,Homies,Rumors against my family,Having a girlfriend,fear,Injured at work
,,,,,No other group,Fellas,My aunt was diagnose with cancer. My mom's only sister.,I want to graduate from high school for the past 6 months I've been messing up in school.,sadness,My famliy member has cancer
Life skills/workshop,,,GRYD,,GRYD Friends,No group,,,sadness,Father died. Overdosed.
Bike ridding,,,,,No other group,No group,,,fear,Got hit by a car
"Gym, football, smoke weed.",,,,,No other group,Homies,No,No,neutral,Things with mother
"Face mask, toes, make up",,,,,No other group,Second Family,"Yes, being in a relationship.","Yes, moving.",joy,Arguing with girlfriend
,,,Football,,Football,4th Ave Boys,No,No,joy,My dad needs to be in my life
School at Weber Center-job training,,,,,No other group,B Group,My friends and Homeboy Darky will shoot and I was put in jail for something I did not do.,Stated going to counseling and spending time with positive people.,fear,Fight court case
Client loves yoga,,,Client attends activities in VOALA program,Client attends firld trip (GRYD),Volunteers of America (GRYD),No group,,,joy,Me and mom use to fight a lot. It has been much better
"Drawing, write books",,School friends,Women's empowerment,,Women's empowerment,No group,,,sadness,Became homeless
Previously but not at this time.,,,,Skating friends,Skating Friends,Friends,"Yes, issue with other community member.","Yes, working and school.",fear,Situation with recent community member.
Client go's for walk with child,,(GRYD) and family,Volunteers of America (GRYD),VOA activities workshops,Volunteers of America (GRYD),No group,,,sadness,Client stated a close friend got shot at
"Smoking, bike riding, view.",,,,,No other group,Friends,No,Nothing,sadness,When his father passed away
SEA GRYD,,School friends,,SEA GRYD,Friends,No group,,,neutral,School work
,,,,,No other group,No group,,,sadness,Family hardships
Clien plays football with friends,,Hangs with coworkers,Play's football iwht friends,VOALA GRYD,Volunteers of America (GRYD),No group,,,fear,Client stated his homie from GROUP got shot at.
Client hangs out at the park with his friends and plays football,,Client hangs with his friends,Client comes to workshops,(GRYD),Volunteers of America (GRYD),No group,,,fear,Client stated he seen his friend get shot
,,,,,No other group,Group,Friend got shot,None,neutral,Open court case
,,,,,No other group,My brothers,2 friends got send to jail,Nothing,fear,Life is stressful
,,,,HC Park,Park,3rd,My girlfriend was hurt bad in an accident,No,sadness,Girlfriend got in an accident
Work out,,,,,No other group,Group,,,fear,Injured at work
,,School friends,,,School friends,No group,,,sadness,Grandmother died
GRYD,,,,,No other group,Friends,No,Yes. School and jobs,fear,Conflict with family
Listening to music,,,,,No other group,Homies,Nothing,Focusing on my girlfriend and kids,sadness,I lost my mom
,,,,,No other group,Friends,"Yeah, brother in jail.",The baby.,neutral,Borhter bein arrested.
,,,,,No other group,No group,,,sadness,Mom left me
"Preparing resume, applying to jobs",,,,,GRYD program,204th,"Seeing negative consequences (jail, loss of employment, etc) of others",Raising family (2 girls). Wanting a better future for self and daughters,sadness,Saw officer that was involved in family shooting
GRYD program,,,,,No other group,Homies,I need to recover from being stabbed,No,neutral,Moved back South LA
"boxing, hiking, excercise",,,,,No other group,Friends,No,No,neutral,Family issues
"YES, program",,,,,No other group,Friends,No,No,joy,Issues with parents and school
Client stated he's playing in a soccer team,,,Client plays soccer,(GRYD),Volunteers of America (GRYD),ATC,Client stated his best friend got blasted at and killed,Client got a job and is trying to stay focused,anger,Client stated friend got blasted at
Reading,,,,,No other group,VEE,No,No,joy,Friend shot
,,,,,No other group,Friends,No,No,neutral,Yes car was taken away impound
None,,,,,No other group,Friends,Nothing,Baby on the way,neutral,Parole case
,,,,,No other group,No group,,,sadness,Friend was killed
,,,,,No other group,Homies,having my son has made me think different now,My son is what makes me want ot stop hanging around with my friends,sadness,My father past away
Exercise/run,,,,,No other group,Group,,,fear,Got into fight
Working out/dancing,,,,,No other group,No group,,,sadness,Parents argue
,,,,,No other group,Homies,Lack of trust with the homies,Having a girlfriend and my mom being more involved in my life,sadness,Dad got locked up
Client stated she goes to work out at the gym,,GRYD program,,,Volunteers of America (GRYD),No group,,,anger,Client stated her children's father has anger issues.
working out,,Work,,,Work,Bee,No,No,fear,Got shot
Helper Foundation,,,,Helper,Helper Foundation,No group,,,fear,homeless
"Homework, GRYD",,,,,No other group,B Group,Homeboy was killed at his house in the yard,Working 2 jobs and going to school. Trying to live the homeboy dream since he can't,fear,Homeboy was killed
Basketball,,Friends from work,,Friends,Friends,No group,,,fear,Got shot at
Exercise and fitness training,,,,,No other group,No group,,,fear,I have recently had anxiety attacks that have caused hospitalization
,,,,,No other group,Homies,my older brother was deported,a friend got killed,sadness,mother tried to drown sister
life skills and counselling,,co worker,,group sessions,Helper Foundation,Holines,"I spent the night in adult jail first time, man","I got a fulltime training job at a dental clinic, I even wore a lab coat. Now I only work one day, though.",fear,I went to adult jail for one night
"Parenting class, domestic violence class",,,,Support group,Support group,No group,,,neutral,DCFS case
SEA GRYD,,School friends,,,School friends,No group,,,neutral,"School work, senior dues"
Sports,,,Souftball,BTBTS,BTBTS,The grils crew,Nope,Nothing so far,fear,Parent seperated badly
Church services,,"School friends, gym friends, and church","Basketball, running, boxing",Neighborhood friends or just friends,Boxing friends,No group,Staying away from it in general,"Got a job, school, and more or less trying to better himself",fear,Problems with friends
,,,,Friends,Friends,No group,,,sadness,Father died
Go to church,,Church,,BTBTS,Church,Chicos,"Nope, nothing",Just sometimes my brothers death,joy,My brother's killer got scentenced to life.
