sentiment,selected_text
worry,miss
sadness,unfortunatley
neutral,"o unconditonally love,"
sadness,suck!
sadness,
neutral,
sadness,aww i`m sad
sadness,****
sadness,- I used to have NKOTB sleeping bag too!!  I don`t know where it is now
neutral, I do . 
anger,"What a mess , Jack ! "
boredom,
neutral,We were so busy I didn`t even get to talk with you!
neutral,_diva as always  coffee? cookies?
neutral,
neutral,
worry,doesnt want exams next week
worry,Holy cheese sending things to the motherland is muy caro
neutral,
neutral,
neutral,video is not available to us foreigners
neutral,"woofers, I knew it was you"
neutral," no , why ? "
sadness," Oh , er ... sorry that's because we didn't have time to clean it . "
neutral,my boss. She`s moving to NYC
sadness,_spn your boyfriend didn`t even say bye!
worry,
neutral,lifesaver:
sadness," Skim , please . That'd be very nice . Thanks ... oh no . Janna , I'm so sorry , but I've got to go . "
worry,hey  how are you?
sadness,
neutral,No problem. I`m just sharing the whole list to you.
sadness,Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.
neutral, The weather report says it's going to rain for a whole week . 
anger, The tapping of your pen on your desk . It ’ s driving me crazy . 
sadness,"Downloadfestival`s lineup isn`t as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
neutral,"How was the game? Unfortunately, teh Cavs lost  I`m sure you had fun though"
neutral, Yeah . 
neutral,thanks!
worry,i could really fancy a nap right now but i am at work at 7am and i feel that if i nap now i am wasting my evening
anger,Realizing that a friend had been talked into signing a certain contract.
neutral,
neutral,i cant call  im at work
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions.
sadness,When I was accused of neglecting work for the wrong reasons.
worry,I never get them and the hubby is due in next week.. <cries> hope its gone by then
neutral,
neutral,"Remeber my blue dolphin?  I wore it out, thinking Victoria day gift for me?"
worry,
neutral,"yeah, we`re on our way home"
sadness,lucky
neutral,"My day was cool, a lil twisted...  I won`t spam twitter like I did last week tho."
sadness,Death of grandmother.
worry,retarded
neutral, Ha ! It's not like you've ever been one to beat around the bush . 
neutral,So physical therapy
anger,A drummer who had borrowed my drums destroyed both the drumskin and the sticks.  He did not repair them nor did he tell me about it.
anger,The headmistress at a secondary school accused me of banging the classroom door when I didn't in front of the whole class.
neutral,
anger,"` Nevil doesn't work for me , "" he snapped , truly indignant . "
neutral,
worry,"K now that, that fiasco is all wrapped and good too go  back to studying for midterms =("
worry,Lol it went okay! As
sadness,
worry,well paisley has one of those cone things around her head...SO funny but I feel bad for her
neutral,
worry,This is not good
worry,
neutral, What ? 
sadness,From the fact that my husband and I are not in good terms.
sadness,When my friend did not pass the high school graduation examinations.
neutral,anything!
worry,didn`t even come meet me
fear,I should have given a test lesson to get a job. I had no courage. I didn't make the test.
worry,
sadness,
fear," said he wants to live in u, but  he saw fear in your house occupying your space and u wouldn't invite him in ro get rid of "
worry,I`m so sorry
neutral,e too easy.
neutral,
neutral,"here it`s 3:34  a.m. and i`m at home, after a night in a pub"
neutral,
fear,When someone close to me is travelling by car and is delayed.
worry,So excited
neutral,and movies too!!!
neutral,is playing Uno  http://plurk.com/p/rprl0
neutral,Sunshine is back....... having a hair day  new due
worry,hoping to get pox-syphilis soon
worry,"im in pain, ****"
neutral,
worry,scarred for life!
sadness,
worry,hit
fear,"@DaveWright70 @rmmanson @GabBurnsSmith @fraudsterboosh bob, would not like to be on your head come Saturday morning ! "
neutral, What position do you play ? 
worry,it`s a good mix
fear,"Anyone could have typed that message and his initial , she realised with dismay . "
sadness,The death of my grandmother.
sadness," As a matter of fact , I am a bit upset . I just came out of a meeting and it didn't go very well . "
neutral,
fear,She nearly gasped with dismay at the shock that shivered down into her tummy . 
neutral, I hope not . Then we'd have to reschedule our baseball game . 
anger," The cat has eaten my fish , I'll kill it . "
neutral,l good for you.
sadness,june gloom has arrived
neutral,good
worry,
sadness,nauseatingly
sadness,if she sees that she will cry! lol
sadness," You don't have to keep saying that , Yuri . It's not your fault.But me--I'm the one who should be sorry.It was me who suggested operations here in the first place ! Oh , what can we do ? "
worry,good.
anger,Last night - finding that someone in the house had eaten an entire packet of almonds I had bought for a family treat.
sadness,
fear,"When I heard that there had been some women raped at uni, just near where I usually park my car and walk by myself at night. Although I wasn't in danger it unnerved me for days and I was fearful whenever walking through the area."
anger,Mr Jones exploded in anger . 
sadness,I hate it when that happens.
sadness,I had cared for a horse for 2 years. One day it was sold and I cried for several days because I was so sad.
sadness,I was sad at the expulsion of some of my comrades during the university demonstrations.
fear,I am scared of me. Listen to more milli by drake
neutral,may the 4th be with you
worry,",  In pre-Twitter days, I`d need   to wait  for a formal  invitation  to speak on edu2.0  from"
sadness,Has finally found her new flat.
sadness,
neutral, I hope so . 
anger,"His mother had begun to feel very angry about his refusal to eat as he had started to lose weight , which worried her . "
neutral,
neutral,3 margs. Driving home in the rain now
neutral,back to work.. with no distractions..
anger,"When I tried to put up a tent some years ago, I was teased and hindered by my cousin."
fear,When I dreamt that my family was in trouble and was facing many difficulties.
worry,
neutral,
fear,"If I mention our separate sleeping arrangements to friends , they are horrified . "
anger,Came back from surfing to find car broken into and gear and money stolen.
worry,hi I`m ok   still not feeling grea
sadness,angry
fear,"His voice was tetchy , but not alarmed . "
worry,"lacey is alright though. quite a few gashes, and she keeps her tail between her legs"
neutral,you hate me
anger,This situation happened when my friend John ate my banana which I kept in the cupboard.
anger,I had too much homework and examinations and I did not know how to organize my work.
worry,purrrrs.... ooooh that will do
fear,"I had decided to propose to the man I liked to make a trip together.  One day, during breakfast I told him my idea.  I was afraid of his not accepting it and that the idea would end up as a failure."
neutral,"Come on , Tara . Let ’ s go up to the window and buy two tickets . The movie is starting in a few minutes . "
anger," Come on , Liz . Be open-minded ! Look at my eyes , they are puffy . And my eye bags , they are dark and loose and full of lines and circles . I really hope surgery can wipe out the tired feelings . "
sadness,
neutral,it`s just one day... do a week of 60hrs to compensate
neutral, Photograph . 
sadness,
worry,Now that sucks.
worry,
sadness,I just had a terrible week . 
neutral,
neutral,e missing
sadness,
worry,
fear,"She tried to sleep , but she was desperately nervous about tomorrow . "
anger,After a long trip in my dad's van without incident I stopped to fill the tank with gas and dented the side of the van against the pole. Then my cars electrical system would not work when I tried to drive home from his house.
worry,
worry,I miss him.
worry,luvin
neutral,yessir that is 100% right
worry,I think I have H1N1...     Or maybe just a col
neutral,Ok just woke up and need to get ready before a day of getting twitterena 2.1 submitted!
worry,Hope he doesn``t get in trouble
fear,"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! "
worry,you didn`t say you were leaving yesterday! You won`t see me at the house anymore once you get back... tear tear
worry,
neutral,My daughter plans to quit her present job and wants to find another . She says she wants to get a better job with higher pay . 
worry,Oh no! So sorry about your pets..
sadness,"The elections of 1982 and 1985.  The thought of what a social democrat and communist majority could achieve, especially \worker share\"" funds and its extension."""
worry,i seriously need to live somewhere fabulously queer. i miss being around **** people
worry,aww  cant wait till u get 2 Sydney ;D i missed out on tickets tho.. :O ****
sadness,"When my grandfather died I was extremely sad.  However my family members did not have any special feelings, they said that he was already 80 years old."
fear,"Ten cold , frightened men climbed out of their trench and listened to the young officer in cynical silence . "
worry,doesn`t love me no more
sadness, That ’ s weird . 
worry,I want him to call
worry,_Duerden JealousMUCH..I want to be outttt  Not stuck in revising. You better have green dragon in my honour lol
neutral, Why ? 
neutral," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
neutral,just watch evan longoria
fear,LOVE LOVE LOVE Da Onli Thing I Truly 
neutral,is getting ready to go over to the apartment
sadness,lots of decisions to make...i need an assistant/cook/nanny/chauffer lol lol but 4 real!
worry,sux.
sadness,
anger,"Rebecca went in search of her bag , and Lissa sent an irate look in Adam 's direction . "
sadness,The sadness came to me when I heard that my girlfriend whom I loved so much got married to another man before a rebuff from her.
worry,sorry
neutral,This GAR keeps going out - 3rd relight
worry,
worry,
fear,"Passing (by car) over a bridge where only one car could pass. There was a precipice on both sides, no protection grilles, and the bridge was completely muddled."
worry,
fear,When my father was involved in an accident.
neutral,
worry,exciting Sunday
neutral, See you . 
neutral," On the contrary , very exciting . "
neutral,nice
neutral,What ? 
neutral,seperate = Yum. Together = gross sounding.
worry,sad
worry,I wish you where going to be in the Saga
anger,When my friends tried to discriminate against my friendship with certain other friends which they thought was improper.
sadness,I put in two years of hard work and it was neither looked at nor appreciated.
neutral," Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . "
sadness,"When a friend, after being free of drugs for half a year, started using them again. "
worry,
neutral,Mr . Rogers ? 
worry,
neutral, Yes . 
neutral,
neutral,
worry,
neutral,
worry,But Jeff will have a hard time from 42nd
neutral, Yeah . 
neutral,
worry,
fear,"My grandmother several times has been struck by cerebral hemorrhages. Until now she recovered well each time, but there is always the threat to loose her."
sadness,super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it
worry,rubbish!
anger,"` Damn ! "" she muttered in exasperation . "
neutral,
neutral,Work out. Now actual work
neutral,Discrimination is not a bad thing.
neutral, Guess ! 
worry,
sadness,I`m so sick
neutral,
fear,When you say something and you pray the person don't hear
anger,People having a football match outside the window during the lecture.
anger, You can't prick the fish to please the sick tastes of some bloody people . 
sadness,
sadness,tired
neutral,horseback riding
anger,A friend of mine promised to come with me to the cinema but he didn't come.
worry,
fear,Once while walking along a hill; I fell down out of carelessness and I broke my left arm.
worry,
neutral, Yes . 
worry,Im soooooooo **** hungry!! wat 2 eat??
anger,"When the others did not do their bit of work on a group assignment task, and I had to do all the work."
sadness,
sadness,didn`t put any treats on my food
neutral,
sadness,It just had to rain on me
anger,In me battled a flood of relief at being reprieved and anger at such vile deception . 
sadness,When my grandmother after staying with us for awhile went back home.
sadness,
neutral, Why not ? 
neutral,"I want tuna & salmon sashimi, B.C. rolls and dragon eye."
neutral,poor
neutral,Headed back to Pulaski
neutral,So you`re the reason I can`t get a BoC
sadness,
neutral,Omg! My dad called me a johny come lately haha because I`m slow  haha
anger, I'm tired of your cut-and-dried opinions . Who do you think you are ! 
neutral,horrible.
worry,
worry,feel better soon! Your immune system must be away on holiday somewhere... probably with mine
sadness,i am sad.
anger, What ! I resent that ! 
neutral,ugh!
sadness,
sadness,love
worry,I miss
sadness,disappointed
worry,"But it is our reality  , we must survive. What doesn`t kills, makes stronger"
worry,
anger,bad
neutral, What is it ? 
fear,Thinking about death when walking alone at night.
sadness,morning miss sarah cyrus ;) WHAT`S UP?
worry,Ahhh yay
sadness,When the mother of a good friend of mine died.
sadness,"In spite of her grief at being parted from her cousins , she could not help but feel excited . "
worry,Brittany moved
sadness, I have been working on it for a whole month and it's too late to write another . Just think of all my hard work that goes for nothing . How could I do such a thing ? 
worry,"While I remember, Nerd Hurdles rocks  Especially the tale of the currency of ironpoodonia"
neutral,Hello ? 
neutral,
neutral,
worry,sorry didn`t get to see you
neutral,
neutral,
worry,I`m more upset
worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
worry,praying you get better soon you sweet one
neutral,
neutral,"Get my **** out the door and go to work   I`m goin, I`m goin!!!!"
neutral,
anger," Oh , you men ! You're all the same . "
sadness,i cant believe you are closing 2moro and ive never had a chance to see the show  Good luck to everyone - you are all stars!
neutral,dope background
worry,Is sad th
worry,
neutral, Ok . 
sadness," Sorry , sir . We have only tables in the main dinning room left . "
worry,is putting on her 'suit' (&dont mean jeans&T)&Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us  BE back by 630P God willing!
sadness,Fuuudge. Movie store is closed
worry,
neutral,love
worry,"We`ll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind"
neutral,
neutral,
sadness,"Depression flattens the voice almost to monotony ; movement is slowed , and a dejected facial expression is characteristic of many people when they are in a low mood . "
worry,
neutral,playing with image
neutral,shakalohana week two of flat wavez no surfin
neutral,
worry,
worry,Learning how to jerk and stanky leg at sunset cliffs. headlights spotlight  with colorado and fam
fear,I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.
anger,My trouser's zipper was open when I was at a public wedding.
neutral,I`m all done with my work
worry,"sooo, u just gon cheat on me and tell everybody on twitter? I don`t know if I can trust you anymore."
worry,
neutral,
worry,sneezy to
anger,"Kisling was livid , and with the help of some friends managed to grab the sculptor and throw him down the stairwell from the seventh floor . "
sadness,Awesome
sadness,
worry,Hate washing my hair! Because then it has to be dried & straightened.  And then i find the grey hairs in the middle layers of my hair
neutral,fun night
sadness,"there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM"
neutral, Alright . 
neutral,I need one more follower.
neutral,Just had mothers day lunch here  http://twitpic.com/4wfeo
worry,
worry,sorry
sadness,nowhere babe  ice come to do a few jobs here this morning *sigh*
neutral, What sign ? 
worry,i can`t find my woody and buzz toys  but i`ve got my bullseye teddy!  do you have toy story toys?
worry,pounding.
sadness,"i lost all my friends, i`m alone and sleepy.."
neutral, Why don ’ t you find the information on the internet instead ? 
worry,Is sad clint hurdle got released. I liked him
sadness,bad
anger," He ’ s my grandfather , and he never really liked you anyway ! "
neutral,
neutral,
neutral,
neutral,
worry,We miss him.
neutral,
sadness,miss
sadness,
fear,Being alone at night.
neutral,nice angle though...
anger,Why didn't you tell me you had a girlfriend ? 
worry,makes me sad
neutral,
neutral,
sadness,
sadness,LOL yea the fondue is on point... but that Chocolate Lava Cake is what you really want...but I wont be here   Im Mon-Fri babes!
neutral,yummy
neutral,big sad old loser
worry,Sorry to hear that
neutral,
sadness,
sadness,Our dog had to be shot because he had killed a roe. I liked him very much and so I could not resign myself to that. I hated the hunter who shot him.
worry,i was an extra. got ready for work for nothing. studying all night
neutral,trent reznor - liddle beotch doesnt get his way. this could be the title
neutral,I just dyededed my hair
fear,"I had to have my tonsils out. I had been making up my mind almost for a year - I was afraid. But during the two hours in the hospital room, while I was waiting to be called for the operation I felt a real fear - of the pain, of what they were going to do to me, of the unknown."
sadness,bruised.
worry,i feel like I`m on house arrest.
neutral,I`m not giving up
worry,Thanks
sadness,I heard of the death of a closefriend of mine.  I had gone camping with him shortly before his death and the whole thing seemed very  sudden to me. 
worry,so **** nervous!!!
sadness,When the neighbour of a friend of mine was stabbed to death by thieves in Kabwe.  They stole his van.
sadness,Guess I have to go back and scrape out the oven now. Blerg
fear,Gut wrenching pain. Please don't let it be true 
worry,misses  so much
worry,no fun
neutral,I spoke but when niggas be looking at ya crazi all the time u just stop....  plus I always used to see yall when I just wanted
worry,@_Emily_Young_ okey
neutral,. Probably spelt it wrong lol.
sadness,But but I dun wanna
worry,But ... but ... who will produce the next Starsailor record?
sadness,When my sister died in a fire accident at home.
fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going."
fear,"In 1977 when my friend was caught by a crocodile.  We were swimming in a river on whose banks our primary school was situated.  When my friend was caught, he was on the banks of the river and some of us were still in the middle of the river.  I was very frightened."
worry,"i feel extra-nauseous all of a sudden,"
sadness,Johnny actually invited me to the movies but i have too many things to do before the concert
neutral, I hope that it is not a formal one when the boss is there . 
worry,now I wish I hadn`t
worry,super helpful th
neutral,Can`t change my profile or settings
neutral,braggin
neutral,
worry,
neutral,
sadness,"I was watching a sunset after my latest boyfriend left me and I realized that we would never watch sunsets again, probaly never see eachother again and none of it mattered."
sadness,"haha yea! Just working and chillin in the eastbay. Unlike u, I don`t get a summer break  boo"
sadness,migraine th
sadness,not feeling very well
sadness,"Diana took the criticism to heart , avidly read what was being said about her and became depressed and despondent . "
neutral, Isn't there any coach to teach you how to ski ? 
fear,I'm not actually writing a physics exam today 
sadness,"As you would expect , she was overcome with grief . "" "
neutral,Going to third
neutral,"But I don`t wanna ruin it  Can`t I do it `spontaneously` first on paper, then copy that spontaneity onto the book? Please?!"
neutral,editing something in photoshoot  NILEY
anger,"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day."
worry,miss
sadness,"From somewhere in the gloom , accompanied by raucous laughter and much crudity , a young female voice began to groan and then rise , unintentionally mimicking the anguish of a wounded soldier . "
neutral,He`s that great.
anger,When my aunt told me angrily that I was a good-for-nothing and she was fed up with my behaviour.
anger, That's absolutely ridiculous ! 
neutral,
worry,Head is throbbing from lack of sleep
worry,
worry,i miss jack n box  and whataburger  and oooo taco cabanaaaaaa  lm
worry,. Too bad!
sadness,heart breaking
sadness,Someone stole my new laptop at the airport.
fear,"Rather than match China 's firmness , it can be confidently predicted , the Hong Kong authorities will follow past form , cease muttering about their shock and horror over Tiananmen , and return to bland assurances that the negotiations with Peking about a post-1997 ` Basic Law "" for Hong Kong are going well . "
neutral,thanks. but it IS seriuosly my back up plan
fear,"When one of my relatives went out at night leaving me and my friend alone, I cheated my parents that she didn't go out, after they had heard that she was out, I was afraid that she might have beaten me."
sadness,He was inconsolable when he found what she 'd done . 
worry,
neutral, I ’ m looking forward to this film . I read a good review of it in this morning ’ s newspaper . 
neutral,"Joe had the same shirt in the concer here, in Chilee! hahaha Big rob wasn`t here"
sadness,To only a few had he been the devil who gloated over their private grief . 
worry,
worry,worried
sadness," Sorry , Mr . Polly . "
worry,Did you get your free chocolate?!? I still haven`t gotten my email.
neutral, You hit the white ball with your cue . The white ball hits the colored balls . And you want to get the colored balls into the pockets . 
worry,Crappy day
worry,my power went out as well.. Except I`m in nor cal
anger,He got quite angry at the impossibility of Clarissa having given any such instructions . 
neutral, Thanks . 
neutral,
sadness,
sadness,aw
neutral, Ok . Bye . 
worry,
sadness,"Really good concepts at #mozconcept. I *really* love to send something mine,"
neutral,How are you feeling
neutral,
sadness,Finished with MTML assignment  But didn`t like it at all. Feels like I missed lotsa points but the word limit is 2500. Hmmpph!
fear,I am scared when I stroll alone on the Chung Chi college campus. 
worry,
worry,", i`m sorry."
neutral,"hey, i`ve just updated my twitter"
anger,"When, after drinking a glass of water, I found a cockroach walking out of the glass."
anger,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
worry,hard
worry,bad
anger,I was angry when somebody stole my half petticoat.
worry,
sadness,
sadness,"Looking up end-of-semester results, and finding I'd failed three out of seven (subjects)."
worry,its true...i can never be like _Bambu never
worry,blew
neutral,"Aye boy, same as that. I heart Justice."
neutral,
neutral,
sadness,
fear,"When I witnessed a bus accident in which a bus, full of passengers,  nearly overturned on the road "
neutral,Follow Friday rickbaker24 i only have 6 friends
fear,"It could well become agitated at the dispersal of the pigeons , turn its head towards the lights , and bark heatedly at the road workers . "
sadness,had a good ab
neutral,"Speaking of which, we need to talk soon."
neutral,switch to something else then
neutral,I hope
neutral," Oh , I see . "
sadness,good!
worry,
neutral, Yes . 
neutral,
neutral,Mmmmmmmm... ? it in the morning
neutral,Today is gonna be a looooong one again.
sadness,
neutral,complicated sh-t
sadness,
neutral, No . 
sadness,darn.
neutral,saddo
sadness,
neutral,ROCKED
worry,feel bad ov
sadness,sorry
fear,"In 1989 he began libel proceedings in the UK against the Singapore government after the Privy Council had expressed "" deep disquiet "" over his treatment by the government [ see p. 37574 ] . "
neutral,im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
sadness, But I lost the chance . 
worry,
neutral,im soooo loney
neutral,
worry,Yikes!  I hope she was okay.  I never her heard her say her tummy hurt
neutral, See you . 
sadness,like almost above my sholders
worry,
neutral,
anger, You can't be serious . How dare you not tell me you are going to marry her ? 
sadness,
sadness,I should be in NYC right now with some of my favorite people but instead I am stuck in RI.
worry,
neutral, You failed . 
neutral,
worry,Really nice outside...I`m stuck at work
neutral,
neutral,oh just referring to our lil exchange on LJ with regards to twitter archive postings.
sadness,not soo good
worry,
sadness,disappointed.
neutral,chill
neutral," I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . "
worry,
neutral,e discretion
sadness,This is what I am drinking instead of beer: Airport is out of beer.. At least it is carbonated...
worry,NICK WTF I WAS GONNA GO BUT I HAVE NO RIDE. Boo
neutral,i have never seen Wall-E. i am confused because i had no idea what you guys were talking about... hehe!  now i do though!
anger,"When I checked my examination paper and realized that I had been careless, thoughtless, lazy and hasty so as to make unnecessary mistakes concerning things I know and understand."
neutral,Fab new pic by the way
worry,
neutral,Yes. I also use my desktop`s mouse and ketboard as if ot was just a second monitor
sadness, I am awfully sorry . I didn't think you would mind so much . 
worry,hard
neutral,ut i aint that rich   just buy some more copies urself
neutral,My mom doesnt wanna go
worry,How Do You Sleep - Jesse McCartney
sadness,i never get any followfridays
neutral,I doubt I will tho !  twit pic sumthin
sadness,pathetic.
neutral,"@stebax You gotta feel the - and #sing it anyway! :) (Said by me, former girl child soloist. (I was good - semi-pro.)"
fear,It was some years ago when one evening some people came home and told us my father was badly injured in an accident.
anger,When I was left by the person I loved without any reason.
worry,I don`t know what im doing :S
worry,lonley
worry,No FUN!
anger,Some noisy guests arrived at the hotel.  I had been slightly irritated earlier.  At night when I was trying to sleep they were having a party so I went and yelled at them.  I wanted to sleep as I had to get up early the next day.
neutral,in chicago until 8:20  ...just landed xoxo
sadness,"Feeling better today, but still sick."
worry,it`s the weekend but 9 year old is grounded which makes me grounded too
sadness,No one is bringing snacks
fear,"When I was on holiday, walking back to where I was staying, at night, and two men started closely following me. There was nobody around that I could run to."
anger,Robbie 's exasperation found vent . 
neutral,kinda nice break
sadness, I was told my girlfriend was speaking ill of me . It's a real letdown . 
worry,totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.
sadness,When a friend of mine told me that he was going to commit suicide.
sadness,When my friend (girl) went abroad for two years.
neutral,
sadness,Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i`m super excited about! And looking forward to tonight too
sadness,
sadness," I know you don't hear me right know , please calm down . Anyway , I don't wanna part . I'll drop by tomorrow . "
fear,I once felt that my last hour had come when I was unexpectedly found in the hands of.
worry,Lunch sucked ran out of time  didn`t get anything done
worry,"sorry this is late,"
neutral,It says the video is private
neutral,You suck
worry,saddest
worry,"At The Only with  and , but not with ."
neutral,
sadness, I ’ m down in spirits . 
worry,i dont want to go
worry,"mad,"
neutral,Freeze ! 
neutral,
worry,"None of Meowmie`s friends have money, and even if they did, she wouldn`t be able to pay them back."
neutral,
neutral,
worry,
worry,don`t have one yet  but hopefully I`ll be ponying up for one soon because this 15' is definitely hitting a wall
neutral,
neutral,i hope
worry,"Thought you should mention that you don`t need to enable Growl in Tweetie to make your plugin work, and to avoid duped notifications"
sadness," I am sorry , but you need a receipt for a refund . "
worry,". All my bits are sore today - but life is still grand  Tomorrow is a new day! Sleep well, Friend"
anger,When during Winter the water pipes froze and we did not have any water for two days.
neutral, Extra lean . 
sadness,"Unfortunately,"
sadness,Ouch ! I just bit my tongue . 
sadness,
worry,"Holy cow, am I getting shorter?!?"
neutral,"it`s true, sorry david!"
worry,
sadness,
neutral,Time for some Halo3 then?
neutral,
sadness,nooobody would watch it w/me
fear,I was alone and someone tried to break in from our back door.
fear, Hello ? Can you help me ? My computer ! Oh man ... 
sadness,I ran outta bathroom passes.  maybe mrs. French will be nice today?
worry,Aww sad  now
fear, I ’ d be afraid to jump from that height ! 
worry,My lower-left molar stings whenever it comes into contact with sugar of any sort
anger, Curse this oven ! Curse it ! 
neutral,thanks
neutral,nd.  nyt life sux
neutral,watching saturday night live; justin timberlake hosts
anger,
fear,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.
fear,The day the results of the certificate exam came out.  I went to school and at first I did not feel frightened.  By the time I reached the fourth floor ( the results were being given on the fifth floor) I found it difficult to walk and felt that I would die.
neutral,drama is no fun without you.
sadness,
sadness,
worry,
sadness,sad me
neutral,waching gray`s antomy
sadness,
sadness,that **** sucks
anger,There was really no reason why Star should be cross . 
neutral,
sadness,Sadly
neutral," Yes , Jane was quite upset about it . The manager came to apologize and we did get free dessert , but still ... "
worry,
neutral,Eurgh.. Revision.. Who invented History?
neutral,
neutral,
anger,Two years back someone invited me to be the tutor of her grand-daughter.  The grand-daughter asked me some questions in mathematics so I taught her.  However she did not listen to me and this made me feel unhappy.  The second year it was the same.  When I entered university the girl's parents suggested that I be employed as their daughters tutor.  They told me that at university  there was no homework and I would have a lot of time so they made a time-table  for me which required me to be the tutor five days a week.  They did not respect me and anyway I had another child to teach.
neutral,
sadness,
anger,"JOHN SMITH , understandably , is boiling with anger at the Tory refusal to recall Parliament . "
neutral,just downloaded more music and videos on my ipod.
worry,
neutral,
sadness,"I so want to be a part of Windows Clubhouse, but my WL Spaces blog is random, and not the place where I share Windows stuff"
worry,
anger,` There is exasperation that it is taking so long . 
neutral,
sadness,sad.
anger," Oh , shut up about ties ! Forget about ties , why not ? "
neutral,Yes I think it`s safe to say she is at the same popularity level today as always.
sadness,"In the pictures of Belsen , the sheer anguish on the faces of the Tommies contrasts starkly with the indifference of the SS recorded in their cheery souvenir albums . "
sadness," Too bad . But , is there any other leather store nearby ? "
worry,Its been a fun afternoon for me trying though....BBQ`s out now though...feeling a bit sick
neutral,
neutral,
worry,"well,"
worry,
sadness,
worry,It`s raining  so chocolate world it is !
neutral,Ug. Full of cold and in a dark pub. Want to go outside
worry,
worry,"Happy Birthday to meeeee!! Excited to go out tonight, but I`m gonna miss my girl"
sadness,
neutral,
neutral,_whacker skypeeeeee
neutral,
worry,oh no noisy family who live next door are back from holiday  there goes my peace and quiet
neutral,
neutral,
sadness, I'm sorry . That must have really been a nightmarish day for you and your family . 
neutral,
sadness,"Had drums, but they where made up of other peoples sets, so, had to give them all back"
neutral,I may be in the US for it in which case I`ll attend but if its off my own back I can`t afford to go
boredom,Stuck on NJ Transit for the past twenty minutes. Great way to start the week
sadness,"When I said good-bye to my girlfriend.  I had spent two years on developing this relationship and it was unsuccessful, I felt very sad."
neutral,feels like spammers season .....is called summer season
sadness,sick
sadness,WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME
sadness,miss you
sadness,Everyone will be sad at their departure . 
neutral,
sadness,
worry,E EXPENSIVE
anger,"I was disappointed and angry at the bad quality of a documentay program on TV.  In my opinion, the topic was important and the program should have been made with seriousness and consideration."
worry,scratchy
neutral,
anger,Flight BE407 to Rome is delayed . Will passengers please wait in the lounge . 
neutral,
fear,"I was caught doing something I was not supposed to do.  I did something with the person who caught me (bribe) and even though he promised not to report me, I am still frightened."
neutral,
fear,Not walkin up stairs because you're afraid to trip going up.. 
neutral,Watching the kids eating an ice cream.
neutral,"Unfortunately,"
neutral,Your house is too small . Why not buy a big one . 
anger,When I was accused of having refused to do some hostel work while I was at school.  Actually I had not been allocated any work.
neutral,good
worry,
neutral,gonna miss them...
neutral,rain
sadness,A person died (not really a friend).
worry,hurt.
worry,crappy
anger,"He sifted , somewhat peeved , through the remaining unopened mail . "
worry,Wish
worry,this is  how it looks at nights
anger,"Even so , becoming angry when travel arrangements go wrong can hardly help . "
worry,
sadness,died at once.
sadness, No . I couldn ’ t find a policeman . 
sadness,in all honesty...pain   blech
sadness, Oh . I just can ’ t forget it . 
worry,
worry,doesn`t make up
worry,
worry,tired
sadness,But the behaviour of Reverend Prentice has only added to his anguish . 
sadness,Do you not like turtles?
neutral,It works ok
neutral, Yes ? 
fear,"` Money is my motivation , but what keeps me at the top is that I 'm petrified of losing . "
neutral,
worry,
worry,and it is raining in Denver. of COURSE it is
worry,ohh I know her from church .. she got me into mcfly
neutral,tweettttt.
anger," Go on your vacation with Mark and when you come back , why don't you just move in with him as well ! "
neutral,
anger,"I always get angry when somebody deceives me, or tries to conceal his lie skilfully and this offends me even more."
neutral,
sadness,poor
neutral,
